fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	9.654139000000000167e-04	1.310023000000000112e-04
6.343750000000000000e+04	6.238289760000000073e-02	1.396886300000000063e-03
1.258750000000000000e+05	1.238875272000000000e-01	3.337913499999999815e-03
1.883125000000000000e+05	1.815795206999999967e-01	1.029083400000000044e-02
2.507500000000000000e+05	2.441312636000000091e-01	3.653147600000000023e-03
3.131875000000000000e+05	2.953717319999999980e-01	7.013610699999999788e-03
3.756250000000000000e+05	3.532829520999999917e-01	1.288181459999999945e-02
4.380625000000000000e+05	4.102900326999999736e-01	1.723670899999999936e-02
5.005000000000000000e+05	4.685675381000000139e-01	1.758259319999999973e-02
5.629375000000000000e+05	5.171786492000000068e-01	1.713414350000000072e-02
6.253750000000000000e+05	5.779738561999999691e-01	2.521136959999999844e-02
6.878125000000000000e+05	6.419008714999999698e-01	1.722221150000000089e-02
7.502500000000000000e+05	6.896691176000000478e-01	3.494031279999999795e-02
8.126875000000000000e+05	7.335797929999999800e-01	2.884577480000000138e-02
8.751250000000000000e+05	7.830582789000000155e-01	1.708797080000000121e-02
9.375625000000000000e+05	8.343477669000000096e-01	3.758420550000000221e-02
1.000000000000000000e+06	8.732843137000000366e-01	3.830720130000000306e-02
2.580645161299999803e+06	1.605377178599999954e+00	2.602898580000000128e-02
4.161290322600000538e+06	1.938214869300000087e+00	3.137841100000000188e-03
5.741935483900000341e+06	2.112591230900000117e+00	9.676419099999999940e-03
7.322580645200000145e+06	2.253601579500000174e+00	2.267176569999999891e-02
8.903225806500000879e+06	2.348367374700000010e+00	2.304816999999999977e-02
1.048387096770000085e+07	2.407017973899999941e+00	1.984759170000000017e-02
1.206451612900000066e+07	2.484769880200000003e+00	2.301521330000000018e-02
1.364516129030000046e+07	2.516081154700000155e+00	2.190458190000000097e-02
1.522580645160000026e+07	2.580179738600000050e+00	1.506954079999999960e-02
1.680645161290000007e+07	2.605247821399999886e+00	2.166212359999999948e-02
1.838709677419999987e+07	2.646262254899999888e+00	3.041013249999999918e-02
1.996774193549999967e+07	2.674611928100000036e+00	1.639455719999999977e-02
2.154838709679999948e+07	2.710863289799999798e+00	2.633545420000000040e-02
2.312903225809999928e+07	2.735548747300000194e+00	3.928378329999999974e-02
2.470967741939999908e+07	2.764094498900000030e+00	3.013772550000000036e-02
2.629032258060000092e+07	2.775162036999999859e+00	1.394223649999999995e-02
2.787096774190000072e+07	2.795509259300000160e+00	1.738605819999999857e-02
2.945161290320000052e+07	2.823850762499999778e+00	1.339964320000000021e-02
3.103225806450000033e+07	2.840136165600000151e+00	1.629117290000000121e-02
3.261290322580000013e+07	2.855728485799999827e+00	3.800585489999999678e-02
3.419354838710000366e+07	2.875788398700000137e+00	9.961594500000000435e-03
3.577419354839999974e+07	2.890314542500000083e+00	2.937980590000000003e-02
3.735483870970000327e+07	2.911904956399999911e+00	2.589044219999999882e-02
3.893548387099999934e+07	2.947373365999999884e+00	3.926918690000000267e-02
4.051612903230000287e+07	2.958690087099999921e+00	2.768314919999999985e-02
4.209677419349999726e+07	2.970936819199999857e+00	3.351133330000000132e-02
4.367741935480000079e+07	2.981808278899999998e+00	2.832590290000000163e-02
4.525806451609999686e+07	2.998551198299999943e+00	4.314542440000000006e-02
4.683870967740000039e+07	2.992907135099999838e+00	1.855672040000000064e-02
4.841935483869999647e+07	3.021910403100000142e+00	4.515472069999999782e-02
5.000000000000000000e+07	3.047683823499999889e+00	1.513146349999999925e-02
