pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	7.877777780000000396e-02	1.068978980000000016e-02
6.343750000000000000e+04	5.090444444400000101e+00	1.139859207000000069e-01
1.258750000000000000e+05	1.010922222219999966e+01	2.723737446999999756e-01
1.883125000000000000e+05	1.481688888889999944e+01	8.397320560000000045e-01
2.507500000000000000e+05	1.992111111110000010e+01	2.980968440000000275e-01
3.131875000000000000e+05	2.410233333329999894e+01	5.723106296000000093e-01
3.756250000000000000e+05	2.882788888889999868e+01	1.051156071399999892e+00
4.380625000000000000e+05	3.347966666669999825e+01	1.406515456199999958e+00
5.005000000000000000e+05	3.823511111109999661e+01	1.434739602999999919e+00
5.629375000000000000e+05	4.220177777779999673e+01	1.398146109400000059e+00
6.253750000000000000e+05	4.716266666669999807e+01	2.057247759900000084e+00
6.878125000000000000e+05	5.237911111110000206e+01	1.405332454799999908e+00
7.502500000000000000e+05	5.627700000000000102e+01	2.851129522799999982e+00
8.126875000000000000e+05	5.986011111109999661e+01	2.353815227100000129e+00
8.751250000000000000e+05	6.389755555560000033e+01	1.394378413699999930e+00
9.375625000000000000e+05	6.808277777780000406e+01	3.066871168700000094e+00
1.000000000000000000e+06	7.126000000000000512e+01	3.125867622799999967e+00
2.580645161299999803e+06	1.309987777778000009e+02	2.123965241200000076e+00
4.161290322600000538e+06	1.581583333332999928e+02	2.560478351000000097e-01
5.741935483900000341e+06	1.723874444443999892e+02	7.895958022000000298e-01
7.322580645200000145e+06	1.838938888888999941e+02	1.850016082700000064e+00
8.903225806500000879e+06	1.916267777777999868e+02	1.880730669699999913e+00
1.048387096770000085e+07	1.964126666667000052e+02	1.619563483300000106e+00
1.206451612900000066e+07	2.027572222221999994e+02	1.878041401599999993e+00
1.364516129030000046e+07	2.053122222222000062e+02	1.787413884700000066e+00
1.522580645160000026e+07	2.105426666667000006e+02	1.229674532900000061e+00
1.680645161290000007e+07	2.125882222221999882e+02	1.767629283500000037e+00
1.838709677419999987e+07	2.159350000000000023e+02	2.481466810400000167e+00
1.996774193549999967e+07	2.182483333332999962e+02	1.337795865499999959e+00
2.154838709679999948e+07	2.212064444444000060e+02	2.148973065099999857e+00
2.312903225809999928e+07	2.232207777778000093e+02	3.205556718700000030e+00
2.470967741939999908e+07	2.255501111110999943e+02	2.459238404600000205e+00
2.629032258060000092e+07	2.264532222221999973e+02	1.137686498100000110e+00
2.787096774190000072e+07	2.281135555555999872e+02	1.418702345700000089e+00
2.945161290320000052e+07	2.304262222222000105e+02	1.093410882499999959e+00
3.103225806450000033e+07	2.317551111111000068e+02	1.329359708499999959e+00
3.261290322580000013e+07	2.330274444444000039e+02	3.101277761399999999e+00
3.419354838710000366e+07	2.346643333332999930e+02	8.128661073999999820e-01
3.577419354839999974e+07	2.358496666666999886e+02	2.397392163400000165e+00
3.735483870970000327e+07	2.376114444444000071e+02	2.112660086700000051e+00
3.893548387099999934e+07	2.405056666666999945e+02	3.204365648600000060e+00
4.051612903230000287e+07	2.414291111111000134e+02	2.258944973899999820e+00
4.209677419349999726e+07	2.424284444443999860e+02	2.734524798999999895e+00
4.367741935480000079e+07	2.433155555556000138e+02	2.311393679300000059e+00
4.525806451609999686e+07	2.446817777777999936e+02	3.520666631600000152e+00
4.683870967740000039e+07	2.442212222221999980e+02	1.514228386000000093e+00
4.841935483869999647e+07	2.465878888889000109e+02	3.684625206699999822e+00
5.000000000000000000e+07	2.486910000000000025e+02	1.234727420300000045e+00
