fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+06	2.027219498900000083e+00	2.660511999999999946e-02
2.580645161299999803e+06	4.444932371100000168e+00	7.107095169999999573e-02
4.161290322600000538e+06	6.493895243299999898e+00	7.277883309999999550e-02
5.741935483900000341e+06	8.413371459700000443e+00	1.083026651000000007e-01
7.322580645200000145e+06	1.025051289029999957e+01	1.024064558999999985e-01
8.903225806500000879e+06	1.214968454969999989e+01	1.607213265000000113e-01
1.048387096770000085e+07	1.397134168480000049e+01	1.008097545999999956e-01
1.206451612900000066e+07	1.576468091869999988e+01	1.375816461999999907e-01
1.364516129030000046e+07	1.752009803920000053e+01	1.252557183000000129e-01
1.522580645160000026e+07	1.919980709880000092e+01	8.862123619999999480e-02
1.680645161290000007e+07	2.077214733119999934e+01	9.784578150000000640e-02
1.838709677419999987e+07	2.223780410310000022e+01	9.170926050000000052e-02
1.996774193549999967e+07	2.367157997460000018e+01	4.080879049999999730e-02
2.154838709679999948e+07	2.495456154680000083e+01	1.412062325000000007e-01
2.312903225809999928e+07	2.621262481839999836e+01	1.089183209000000041e-01
2.470967741939999908e+07	2.729119462599999935e+01	7.113982950000000138e-02
2.629032258060000092e+07	2.852185911400000151e+01	1.099172998000000068e-01
2.787096774190000072e+07	2.959958923379999973e+01	3.909412720000000202e-02
2.945161290320000052e+07	3.053777233119999934e+01	1.246780242999999955e-01
3.103225806450000033e+07	3.145401461510000019e+01	1.018051284000000001e-01
3.261290322580000013e+07	3.227623229849999831e+01	4.770816289999999654e-02
3.419354838710000366e+07	3.301623093679999954e+01	7.110688569999999709e-02
3.577419354839999974e+07	3.369422204069999793e+01	1.191538119999999978e-01
3.735483870970000327e+07	3.433509440809999802e+01	3.979981700000000122e-02
3.893548387099999934e+07	3.492713099129999677e+01	8.647256479999999856e-02
4.051612903230000287e+07	3.549752178650000189e+01	1.314374809999999949e-01
4.209677419349999726e+07	3.595999909220000035e+01	4.177426709999999821e-02
4.367741935480000079e+07	3.646955791580000295e+01	8.684695770000000481e-02
4.525806451609999686e+07	3.688668300650000020e+01	8.812444469999999863e-02
4.683870967740000039e+07	3.737887618010000068e+01	6.722470730000000561e-02
4.841935483869999647e+07	3.774254493459999793e+01	5.697546089999999674e-02
5.000000000000000000e+07	3.810363562090000045e+01	9.018177119999999658e-02
