pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+06	9.925266666669999438e+01	1.302586676300000024e+00
2.580645161299999803e+06	2.176238888889000123e+02	3.479633796499999931e+00
4.161290322600000538e+06	3.179411111110999855e+02	3.563251670800000159e+00
5.741935483900000341e+06	4.119186666667000054e+02	5.302498484000000012e+00
7.322580645200000145e+06	5.018651111111000205e+02	5.013820080800000412e+00
8.903225806500000879e+06	5.948485555556000008e+02	7.868916144099999954e+00
1.048387096770000085e+07	6.840368888888999663e+02	4.935645584200000435e+00
1.206451612900000066e+07	7.718387777778000327e+02	6.735997397400000253e+00
1.364516129030000046e+07	8.577839999999999918e+02	6.132519970199999726e+00
1.522580645160000026e+07	9.400225555555999790e+02	4.338895723500000301e+00
1.680645161290000007e+07	1.017004333333299996e+03	4.790529463700000434e+00
1.838709677419999987e+07	1.088762888888900079e+03	4.490085396199999579e+00
1.996774193549999967e+07	1.158960555555599967e+03	1.997998381099999943e+00
2.154838709679999948e+07	1.221775333333300068e+03	6.913457143899999657e+00
2.312903225809999928e+07	1.283370111111099959e+03	5.332640991999999969e+00
2.470967741939999908e+07	1.336176888888900066e+03	3.483006052299999933e+00
2.629032258060000092e+07	1.396430222222199973e+03	5.381550999499999932e+00
2.787096774190000072e+07	1.449195888888900072e+03	1.914048466299999918e+00
2.945161290320000052e+07	1.495129333333300110e+03	6.104236068199999643e+00
3.103225806450000033e+07	1.539988555555599987e+03	4.984379085099999607e+00
3.261290322580000013e+07	1.580244333333299892e+03	2.335791657400000165e+00
3.419354838710000366e+07	1.616474666666699932e+03	3.481393122400000095e+00
3.577419354839999974e+07	1.649669111111099937e+03	5.833770633300000341e+00
3.735483870970000327e+07	1.681046222222199958e+03	1.948599040800000015e+00
3.893548387099999934e+07	1.710032333333299903e+03	4.233696770899999962e+00
4.051612903230000287e+07	1.737958666666700083e+03	6.435179071400000339e+00
4.209677419349999726e+07	1.760601555555600044e+03	2.045268118700000137e+00
4.367741935480000079e+07	1.785549555555599909e+03	4.252027048799999598e+00
4.525806451609999686e+07	1.805971999999999980e+03	4.314572813999999923e+00
4.683870967740000039e+07	1.830069777777800027e+03	3.291321667800000128e+00
4.841935483869999647e+07	1.847875000000000000e+03	2.789518565499999880e+00
5.000000000000000000e+07	1.865554000000000087e+03	4.415299517200000246e+00
