fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.611292700000000085e-03	3.501099999999999937e-04
6.343750000000000000e+04	1.004652324000000069e-01	5.390704799999999908e-03
1.258750000000000000e+05	1.954452613999999866e-01	1.174540169999999974e-02
1.883125000000000000e+05	2.835807007999999740e-01	9.293976500000000404e-03
2.507500000000000000e+05	3.827659768000000184e-01	1.246503619999999972e-02
3.131875000000000000e+05	4.675698983000000086e-01	1.398270130000000069e-02
3.756250000000000000e+05	5.561297203999999716e-01	1.692708830000000039e-02
4.380625000000000000e+05	6.323279775000000269e-01	2.988879880000000142e-02
5.005000000000000000e+05	7.247480937000000401e-01	2.015506400000000031e-02
5.629375000000000000e+05	7.960421206000000138e-01	3.338102080000000110e-02
6.253750000000000000e+05	8.694625998999999661e-01	3.245419559999999926e-02
6.878125000000000000e+05	9.706722040999999912e-01	5.117184930000000243e-02
7.502500000000000000e+05	1.034640522899999970e+00	2.926247010000000009e-02
8.126875000000000000e+05	1.123502178599999901e+00	2.287445260000000105e-02
8.751250000000000000e+05	1.192549473499999957e+00	2.282182290000000016e-02
9.375625000000000000e+05	1.270107116899999999e+00	3.262052540000000278e-02
1.000000000000000000e+06	1.326924473500000090e+00	2.695960530000000160e-02
2.580645161299999803e+06	2.686807824999999816e+00	3.090317700000000042e-02
4.161290322600000538e+06	3.599643700100000121e+00	5.142341219999999741e-02
5.741935483900000341e+06	4.339433551199999961e+00	1.852540119999999957e-02
7.322580645200000145e+06	4.993529865600000228e+00	3.858816880000000282e-02
8.903225806500000879e+06	5.544210693500000176e+00	6.818314649999999977e-02
1.048387096770000085e+07	6.063421387100000004e+00	5.414010519999999660e-02
1.206451612900000066e+07	6.540236928099999680e+00	6.367982669999999734e-02
1.364516129030000046e+07	6.933203975999999713e+00	3.155994659999999952e-02
1.522580645160000026e+07	7.262075617299999841e+00	7.593938960000000404e-02
1.680645161290000007e+07	7.586269971000000112e+00	5.757556479999999949e-02
1.838709677419999987e+07	7.848599764000000256e+00	2.385436540000000077e-02
1.996774193549999967e+07	8.135466594000000384e+00	3.259036359999999827e-02
2.154838709679999948e+07	8.361739742199999270e+00	1.462950130000000015e-02
2.312903225809999928e+07	8.578258896199999484e+00	2.183538339999999828e-02
2.470967741939999908e+07	8.779452614400000243e+00	6.540722729999999541e-02
2.629032258060000092e+07	8.932146423400000756e+00	7.682617510000000483e-02
2.787096774190000072e+07	9.075213326100000089e+00	2.351425990000000077e-02
2.945161290320000052e+07	9.236776052999999820e+00	6.777918959999999771e-02
3.103225806450000033e+07	9.389340504699999812e+00	1.263997839999999977e-02
3.261290322580000013e+07	9.525785221499999622e+00	5.409531170000000250e-02
3.419354838710000366e+07	9.645960421199999857e+00	7.731142779999999881e-02
3.577419354839999974e+07	9.740811092999999588e+00	4.295513200000000004e-02
3.735483870970000327e+07	9.883968772699999406e+00	5.829413879999999909e-02
3.893548387099999934e+07	9.960096677599999282e+00	5.331306289999999948e-02
4.051612903230000287e+07	1.011463326069999979e+01	2.871777470000000040e-02
4.209677419349999726e+07	1.018147013439999959e+01	3.524904179999999859e-02
4.367741935480000079e+07	1.029568355119999978e+01	4.148419629999999803e-02
4.525806451609999686e+07	1.038630401230000011e+01	6.604701370000000404e-02
4.683870967740000039e+07	1.047867647059999996e+01	2.791969349999999864e-02
4.841935483869999647e+07	1.054558823530000033e+01	6.470300889999999749e-02
5.000000000000000000e+07	1.065946350759999994e+01	6.360057099999999464e-02
