pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	7.888888889999999543e-02	1.714138739999999939e-02
6.343750000000000000e+04	4.918777777799999917e+00	2.639289092000000059e-01
1.258750000000000000e+05	9.569000000000000838e+00	5.750548658999999896e-01
1.883125000000000000e+05	1.388411111109999929e+01	4.550330879000000217e-01
2.507500000000000000e+05	1.874022222219999989e+01	6.102881731999999504e-01
3.131875000000000000e+05	2.289222222220000091e+01	6.845930574999999907e-01
3.756250000000000000e+05	2.722811111109999871e+01	8.287502415999999927e-01
4.380625000000000000e+05	3.095877777780000173e+01	1.463355589100000076e+00
5.005000000000000000e+05	3.548366666670000313e+01	9.867919339999999817e-01
5.629375000000000000e+05	3.897422222219999810e+01	1.634334779900000090e+00
6.253750000000000000e+05	4.256888888889999834e+01	1.588957418899999974e+00
6.878125000000000000e+05	4.752411111109999808e+01	2.505373740600000065e+00
7.502500000000000000e+05	5.065599999999999881e+01	1.432690536299999984e+00
8.126875000000000000e+05	5.500666666669999927e+01	1.119933199100000110e+00
8.751250000000000000e+05	5.838722222220000191e+01	1.117356448100000010e+00
9.375625000000000000e+05	6.218444444440000041e+01	1.597100922899999942e+00
1.000000000000000000e+06	6.496622222220000253e+01	1.319942273299999913e+00
2.580645161299999803e+06	1.315461111111000037e+02	1.513019546500000034e+00
4.161290322600000538e+06	1.762385555555999872e+02	2.517690260300000205e+00
5.741935483900000341e+06	2.124586666666999974e+02	9.070036410999999799e-01
7.322580645200000145e+06	2.444832222221999984e+02	1.889276744500000049e+00
8.903225806500000879e+06	2.714445555556000045e+02	3.338246852700000211e+00
1.048387096770000085e+07	2.968651111111000205e+02	2.650699548900000035e+00
1.206451612900000066e+07	3.202099999999999795e+02	3.117764314500000022e+00
1.364516129030000046e+07	3.394496666667000113e+02	1.545174983099999899e+00
1.522580645160000026e+07	3.555512222222000105e+02	3.717992515600000214e+00
1.680645161290000007e+07	3.714237777778000122e+02	2.818899653999999977e+00
1.838709677419999987e+07	3.842674444443999846e+02	1.167909729300000032e+00
1.996774193549999967e+07	3.983124444444000005e+02	1.595624201499999950e+00
2.154838709679999948e+07	4.093907777777999968e+02	7.162603843999999498e-01
2.312903225809999928e+07	4.199915555555999731e+02	1.069060369800000077e+00
2.470967741939999908e+07	4.298419999999999845e+02	3.202337849700000127e+00
2.629032258060000092e+07	4.373178888888999722e+02	3.761409533600000188e+00
2.787096774190000072e+07	4.443224444443999914e+02	1.151258163100000065e+00
2.945161290320000052e+07	4.522325555556000154e+02	3.318469125000000020e+00
3.103225806450000033e+07	4.597021111111000096e+02	6.188533403000000543e-01
3.261290322580000013e+07	4.663824444443999937e+02	2.648506460100000126e+00
3.419354838710000366e+07	4.722662222221999855e+02	3.785167504499999946e+00
3.577419354839999974e+07	4.769101111110999796e+02	2.103083262699999789e+00
3.735483870970000327e+07	4.839191111110999941e+02	2.854081037399999854e+00
3.893548387099999934e+07	4.876463333332999923e+02	2.610207560000000093e+00
4.051612903230000287e+07	4.952124444443999778e+02	1.406022250199999934e+00
4.209677419349999726e+07	4.984847777777999909e+02	1.725793086599999970e+00
4.367741935480000079e+07	5.040766666667000209e+02	2.031066252900000091e+00
4.525806451609999686e+07	5.085134444444000223e+02	3.233661793100000015e+00
4.683870967740000039e+07	5.130359999999999445e+02	1.366948191399999901e+00
4.841935483869999647e+07	5.163120000000000118e+02	3.167859315299999867e+00
5.000000000000000000e+07	5.218873333333000346e+02	3.113883954699999901e+00
