fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.370733500000000018e-03	9.207270000000000363e-05
6.343750000000000000e+04	9.023806280000000457e-02	7.194306800000000411e-03
1.258750000000000000e+05	1.747775961999999961e-01	2.024712399999999829e-03
1.883125000000000000e+05	2.542302106000000061e-01	5.757135099999999631e-03
2.507500000000000000e+05	3.273726852000000132e-01	1.232658810000000077e-02
3.131875000000000000e+05	4.022058823999999921e-01	1.654093800000000156e-02
3.756250000000000000e+05	4.806701615999999788e-01	2.705890270000000167e-02
4.380625000000000000e+05	5.386108842000000285e-01	1.499721749999999992e-02
5.005000000000000000e+05	5.980482933999999862e-01	1.462770430000000059e-02
5.629375000000000000e+05	6.534767610999999699e-01	4.630267550000000121e-02
6.253750000000000000e+05	7.088745914999999842e-01	3.615402969999999966e-02
6.878125000000000000e+05	7.376747458000000313e-01	2.025639950000000106e-02
7.502500000000000000e+05	7.835330428000000236e-01	2.235098099999999893e-02
8.126875000000000000e+05	8.149975036000000062e-01	3.364479499999999818e-02
8.751250000000000000e+05	8.522580791999999628e-01	2.523665359999999885e-02
9.375625000000000000e+05	8.889615105000000517e-01	2.735456669999999924e-02
1.000000000000000000e+06	9.243554829000000250e-01	3.502132250000000030e-02
2.580645161299999803e+06	1.301597676100000101e+00	1.492550890000000040e-02
4.161290322600000538e+06	1.448540758899999892e+00	9.252609900000000054e-03
5.741935483900000341e+06	1.519754221099999913e+00	3.077160069999999858e-02
7.322580645200000145e+06	1.576976670300000105e+00	2.203304580000000137e-02
8.903225806500000879e+06	1.614032997500000066e+00	1.588645409999999911e-02
1.048387096770000085e+07	1.662482979299999997e+00	1.988654709999999881e-02
1.206451612900000066e+07	1.683085965899999925e+00	3.240084480000000183e-02
1.364516129030000046e+07	1.699680010900000093e+00	1.567781769999999908e-02
1.522580645160000026e+07	1.719150553700000028e+00	3.879302400000000234e-02
1.680645161290000007e+07	1.736863425899999980e+00	2.171841620000000000e-02
1.838709677419999987e+07	1.754776007600000076e+00	3.466725219999999830e-02
1.996774193549999967e+07	1.766018745500000042e+00	2.046749709999999903e-02
2.154838709679999948e+07	1.779814587900000022e+00	2.314706899999999928e-02
2.312903225809999928e+07	1.780358115499999894e+00	2.688084469999999990e-02
2.470967741939999908e+07	1.785770697200000034e+00	2.292152839999999844e-02
2.629032258060000092e+07	1.816548656499999970e+00	1.673723909999999884e-02
2.787096774190000072e+07	1.826159676799999909e+00	4.076610469999999986e-02
2.945161290320000052e+07	1.831319217499999930e+00	2.124353569999999983e-02
3.103225806450000033e+07	1.827450980400000091e+00	2.071488679999999860e-02
3.261290322580000013e+07	1.843212145999999940e+00	2.282134829999999878e-02
3.419354838710000366e+07	1.846154457199999932e+00	2.742453770000000124e-02
3.577419354839999974e+07	1.852335239699999914e+00	2.392109060000000009e-02
3.735483870970000327e+07	1.864734250199999943e+00	2.855569650000000168e-02
3.893548387099999934e+07	1.873606572299999939e+00	3.639860410000000240e-02
4.051612903230000287e+07	1.879989333699999987e+00	3.037375559999999988e-02
4.209677419349999726e+07	1.889181644900000068e+00	2.012737100000000154e-02
4.367741935480000079e+07	1.884999092199999948e+00	2.944801340000000045e-02
4.525806451609999686e+07	1.895652913900000014e+00	2.666567239999999978e-02
4.683870967740000039e+07	1.886028277100000095e+00	3.217623809999999723e-02
4.841935483869999647e+07	1.901178967000000108e+00	3.288923120000000061e-02
5.000000000000000000e+07	1.915125726200000100e+00	1.185515059999999940e-02
