pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	1.342222221999999909e-01	9.015761199999999809e-03
6.343750000000000000e+04	8.836111111099999249e+00	7.044665261000000456e-01
1.258750000000000000e+05	1.711422222219999867e+01	1.982598369999999943e-01
1.883125000000000000e+05	2.489422222219999981e+01	5.637386664000000325e-01
2.507500000000000000e+05	3.205633333330000312e+01	1.207019510499999893e+00
3.131875000000000000e+05	3.938400000000000034e+01	1.619688645599999921e+00
3.756250000000000000e+05	4.706722222220000162e+01	2.649607751100000019e+00
4.380625000000000000e+05	5.274077777779999820e+01	1.468527539999999965e+00
5.005000000000000000e+05	5.856088888890000277e+01	1.432344809900000016e+00
5.629375000000000000e+05	6.398844444440000245e+01	4.533957985299999827e+00
6.253750000000000000e+05	6.941299999999999670e+01	3.540202588900000169e+00
6.878125000000000000e+05	7.223311111110000127e+01	1.983506634200000063e+00
7.502500000000000000e+05	7.672355555560000084e+01	2.188608058699999859e+00
8.126875000000000000e+05	7.980455555560000391e+01	3.294498324500000130e+00
8.751250000000000000e+05	8.345311111110000013e+01	2.471173120700000059e+00
9.375625000000000000e+05	8.704711111109999422e+01	2.678559166799999947e+00
1.000000000000000000e+06	9.051288888889999384e+01	3.429287900699999891e+00
2.580645161299999803e+06	1.274524444444000011e+02	1.461505835999999947e+00
4.161290322600000538e+06	1.418411111110999911e+02	9.060155613999999469e-01
5.741935483900000341e+06	1.488143333332999987e+02	3.013155140599999893e+00
7.322580645200000145e+06	1.544175555555999892e+02	2.157475845700000061e+00
8.903225806500000879e+06	1.580461111111000037e+02	1.555601586599999919e+00
1.048387096770000085e+07	1.627903333332999978e+02	1.947290691499999893e+00
1.206451612900000066e+07	1.648077777777999984e+02	3.172690722400000052e+00
1.364516129030000046e+07	1.664326666666999870e+02	1.535171909000000001e+00
1.522580645160000026e+07	1.683392222221999930e+02	3.798612911200000219e+00
1.680645161290000007e+07	1.700736666667000065e+02	2.126667316799999874e+00
1.838709677419999987e+07	1.718276666666999972e+02	3.394617336900000115e+00
1.996774193549999967e+07	1.729285555556000133e+02	2.004177316499999861e+00
2.154838709679999948e+07	1.742794444444000135e+02	2.266560999699999801e+00
2.312903225809999928e+07	1.743326666666999927e+02	2.632172308499999946e+00
2.470967741939999908e+07	1.748626666666999938e+02	2.244476061399999889e+00
2.629032258060000092e+07	1.778764444443999935e+02	1.638910448100000083e+00
2.787096774190000072e+07	1.788175555555999949e+02	3.991816975399999912e+00
2.945161290320000052e+07	1.793227777778000132e+02	2.080167016099999877e+00
3.103225806450000033e+07	1.789439999999999884e+02	2.028401718300000045e+00
3.261290322580000013e+07	1.804873333333000005e+02	2.234666423599999785e+00
3.419354838710000366e+07	1.807754444443999944e+02	2.685410734800000032e+00
3.577419354839999974e+07	1.813806666666999945e+02	2.342353190499999904e+00
3.735483870970000327e+07	1.825947777778000045e+02	2.796173805500000054e+00
3.893548387099999934e+07	1.834635555556000099e+02	3.564151317999999957e+00
4.051612903230000287e+07	1.840885555556000099e+02	2.974198146900000062e+00
4.209677419349999726e+07	1.849886666666999986e+02	1.970872163899999974e+00
4.367741935480000079e+07	1.845791111110999907e+02	2.883549475900000214e+00
4.525806451609999686e+07	1.856223333332999914e+02	2.611102638299999779e+00
4.683870967740000039e+07	1.846798888888999954e+02	3.150697230300000040e+00
4.841935483869999647e+07	1.861634444443999996e+02	3.220513523999999794e+00
5.000000000000000000e+07	1.875291111111000077e+02	1.160856346299999897e+00
