fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.019880199999999987e-03	1.052621999999999965e-04
6.343750000000000000e+04	6.371868190000000431e-02	2.129135099999999916e-03
1.258750000000000000e+05	1.267143246000000112e-01	2.283938000000000114e-03
1.883125000000000000e+05	1.886819171999999933e-01	4.710420600000000090e-03
2.507500000000000000e+05	2.471173747000000032e-01	9.589203399999999405e-03
3.131875000000000000e+05	3.040495643000000192e-01	1.857972269999999884e-02
3.756250000000000000e+05	3.741162854000000260e-01	1.048252950000000058e-02
4.380625000000000000e+05	4.258129084999999758e-01	2.110732759999999972e-02
5.005000000000000000e+05	4.859817538000000270e-01	1.581742620000000168e-02
5.629375000000000000e+05	5.455909585999999534e-01	2.265880730000000010e-02
6.253750000000000000e+05	6.094376362000000213e-01	2.033848560000000097e-02
6.878125000000000000e+05	6.518082789000000377e-01	1.791352980000000122e-02
7.502500000000000000e+05	7.095370370000000371e-01	9.314200899999999783e-03
8.126875000000000000e+05	7.599319171999999734e-01	1.564929220000000135e-02
8.751250000000000000e+05	8.078812636000000102e-01	9.535560199999999417e-03
9.375625000000000000e+05	8.506222767000000129e-01	2.078074190000000002e-02
1.000000000000000000e+06	8.998352397000000114e-01	4.142007399999999770e-03
2.580645161299999803e+06	1.599159858399999967e+00	8.076956399999999855e-03
4.161290322600000538e+06	1.873021514199999960e+00	2.042033650000000047e-02
5.741935483900000341e+06	2.053202614399999959e+00	1.886562079999999988e-02
7.322580645200000145e+06	2.166940359499999857e+00	2.235740329999999845e-02
8.903225806500000879e+06	2.244916938999999889e+00	1.303257690000000045e-02
1.048387096770000085e+07	2.312723311500000101e+00	2.912024369999999945e-02
1.206451612900000066e+07	2.365634531600000035e+00	2.458231170000000146e-02
1.364516129030000046e+07	2.406322167799999967e+00	2.217616119999999899e-02
1.522580645160000026e+07	2.449652777799999903e+00	1.128423450000000036e-02
1.680645161290000007e+07	2.475804738599999943e+00	2.774431210000000148e-02
1.838709677419999987e+07	2.510698529399999934e+00	1.597059019999999899e-02
1.996774193549999967e+07	2.536921296300000073e+00	2.086419429999999964e-02
2.154838709679999948e+07	2.584922385600000094e+00	3.335906649999999946e-02
2.312903225809999928e+07	2.588815359499999857e+00	3.195980479999999818e-02
2.470967741939999908e+07	2.601989379099999944e+00	1.871386179999999858e-02
2.629032258060000092e+07	2.640355392200000040e+00	3.430881840000000321e-02
2.787096774190000072e+07	2.650174291899999979e+00	2.491292280000000081e-02
2.945161290320000052e+07	2.677931644900000130e+00	2.120299369999999878e-02
3.103225806450000033e+07	2.678729575200000212e+00	2.603830700000000012e-02
3.261290322580000013e+07	2.713989651399999925e+00	2.598120489999999894e-02
3.419354838710000366e+07	2.737920751599999925e+00	3.180638489999999818e-02
3.577419354839999974e+07	2.749136710200000167e+00	4.253455849999999983e-02
3.735483870970000327e+07	2.761821895399999782e+00	4.411498130000000156e-02
3.893548387099999934e+07	2.776469226600000173e+00	4.189373939999999769e-02
4.051612903230000287e+07	2.777209967300000137e+00	5.736954539999999936e-02
4.209677419349999726e+07	2.816213235299999784e+00	1.977451549999999919e-02
4.367741935480000079e+07	2.833796296300000073e+00	4.114731519999999948e-02
4.525806451609999686e+07	2.817557189500000003e+00	5.713992519999999686e-02
4.683870967740000039e+07	2.847617102400000100e+00	2.936386599999999888e-02
4.841935483869999647e+07	2.851177832199999873e+00	2.412965140000000036e-02
5.000000000000000000e+07	2.856473311499999834e+00	4.062838979999999767e-02
