pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	8.322222220000000115e-02	8.589399200000000234e-03
6.343750000000000000e+04	5.199444444400000087e+00	1.737374207000000059e-01
1.258750000000000000e+05	1.033988888889999913e+01	1.863693398999999862e-01
1.883125000000000000e+05	1.539644444440000015e+01	3.843703204000000206e-01
2.507500000000000000e+05	2.016477777780000125e+01	7.824789983000000060e-01
3.131875000000000000e+05	2.481044444440000163e+01	1.516105374399999928e+00
3.756250000000000000e+05	3.052788888890000152e+01	8.553744107999999846e-01
4.380625000000000000e+05	3.474633333330000085e+01	1.722357930100000045e+00
5.005000000000000000e+05	3.965611111110000309e+01	1.290701981500000040e+00
5.629375000000000000e+05	4.452022222219999747e+01	1.848958679199999899e+00
6.253750000000000000e+05	4.973011111110000115e+01	1.659620423700000069e+00
6.878125000000000000e+05	5.318755555559999948e+01	1.461744028500000070e+00
7.502500000000000000e+05	5.789822222219999759e+01	7.600387903999999972e-01
8.126875000000000000e+05	6.201044444440000092e+01	1.276982245099999913e+00
8.751250000000000000e+05	6.592311111109999899e+01	7.781017102999999713e-01
9.375625000000000000e+05	6.941077777780000702e+01	1.695708541199999919e+00
1.000000000000000000e+06	7.342655555560000380e+01	3.379878002000000214e-01
2.580645161299999803e+06	1.304914444444000026e+02	6.590796425999999597e-01
4.161290322600000538e+06	1.528385555556000099e+02	1.666299455799999940e+00
5.741935483900000341e+06	1.675413333333000026e+02	1.539434656500000109e+00
7.322580645200000145e+06	1.768223333333000085e+02	1.824364107000000068e+00
8.903225806500000879e+06	1.831852222221999966e+02	1.063458276700000038e+00
1.048387096770000085e+07	1.887182222222000121e+02	2.376211883099999866e+00
1.206451612900000066e+07	1.930357777778000070e+02	2.005916631099999847e+00
1.364516129030000046e+07	1.963558888889000116e+02	1.809574753899999999e+00
1.522580645160000026e+07	1.998916666666999902e+02	9.207935386000000166e-01
1.680645161290000007e+07	2.020256666667000047e+02	2.263935871400000188e+00
1.838709677419999987e+07	2.048729999999999905e+02	1.303200163699999914e+00
1.996774193549999967e+07	2.070127777778000109e+02	1.702518251000000093e+00
2.154838709679999948e+07	2.109296666667000011e+02	2.722099824899999909e+00
2.312903225809999928e+07	2.112473333332999914e+02	2.607920073799999905e+00
2.470967741939999908e+07	2.123223333333000085e+02	1.527051124199999999e+00
2.629032258060000092e+07	2.154530000000000030e+02	2.799599583400000036e+00
2.787096774190000072e+07	2.162542222222000134e+02	2.032894500299999851e+00
2.945161290320000052e+07	2.185192222221999998e+02	1.730164282500000095e+00
3.103225806450000033e+07	2.185843333333000089e+02	2.124725853000000164e+00
3.261290322580000013e+07	2.214615555556000004e+02	2.120066316199999967e+00
3.419354838710000366e+07	2.234143333332999930e+02	2.595401003800000161e+00
3.577419354839999974e+07	2.243295555555999954e+02	3.470819976400000062e+00
3.735483870970000327e+07	2.253646666667000034e+02	3.599782476300000145e+00
3.893548387099999934e+07	2.265598888888999909e+02	3.418529132799999815e+00
4.051612903230000287e+07	2.266203333333000103e+02	4.681354905700000124e+00
4.209677419349999726e+07	2.298029999999999973e+02	1.613600467599999977e+00
4.367741935480000079e+07	2.312377777778000052e+02	3.357620924299999920e+00
4.525806451609999686e+07	2.299126666667000052e+02	4.662617894500000304e+00
4.683870967740000039e+07	2.323655555555999968e+02	2.396091467599999802e+00
4.841935483869999647e+07	2.326561111110999889e+02	1.968979556499999894e+00
5.000000000000000000e+07	2.330882222221999882e+02	3.315276604300000152e+00
