fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	6.133124499999999951e-03	7.278103999999999867e-04
6.343750000000000000e+04	2.901450163000000027e-01	1.085665970000000008e-02
1.258750000000000000e+05	4.522989287999999997e-01	1.695614819999999995e-02
1.883125000000000000e+05	5.465879176000000284e-01	4.478306700000000279e-03
2.507500000000000000e+05	6.099321441999999704e-01	2.417155110000000079e-02
3.131875000000000000e+05	6.431281772000000396e-01	1.181809789999999950e-02
3.756250000000000000e+05	6.784620098000000432e-01	2.470215999999999905e-03
4.380625000000000000e+05	7.123445443000000488e-01	1.376554930000000072e-02
5.005000000000000000e+05	7.333651052999999864e-01	1.488077030000000030e-02
5.629375000000000000e+05	7.567447349000000489e-01	1.717124839999999847e-02
6.253750000000000000e+05	7.712191358000000108e-01	5.593387699999999817e-03
6.878125000000000000e+05	7.737381989999999599e-01	1.258341730000000006e-02
7.502500000000000000e+05	7.989345044000000229e-01	9.332793199999999886e-03
8.126875000000000000e+05	8.045388526000000207e-01	1.758562220000000134e-02
8.751250000000000000e+05	8.103077342000000183e-01	3.276914720000000114e-02
9.375625000000000000e+05	8.243781771999999508e-01	1.128779329999999963e-02
1.000000000000000000e+06	8.275224673000000086e-01	9.638815800000000503e-03
2.580645161299999803e+06	9.255253721999999739e-01	7.261485399999999951e-03
4.161290322600000538e+06	9.631399781999999687e-01	1.805019750000000020e-02
5.741935483900000341e+06	9.920195625000000073e-01	1.271477669999999949e-02
7.322580645200000145e+06	1.002024328200000092e+00	1.110845430000000078e-02
8.903225806500000879e+06	1.017430328599999934e+00	5.064500199999999626e-03
1.048387096770000085e+07	1.031816221899999997e+00	1.167547019999999949e-02
1.206451612900000066e+07	1.044884713100000084e+00	2.059553860000000111e-02
1.364516129030000046e+07	1.043144063199999971e+00	1.566338000000000105e-02
1.522580645160000026e+07	1.057735339499999982e+00	1.991817599999999924e-02
1.680645161290000007e+07	1.055268473099999937e+00	1.255760459999999933e-02
1.838709677419999987e+07	1.059834558799999993e+00	2.095736159999999834e-02
1.996774193549999967e+07	1.064156681200000065e+00	1.804830799999999902e-02
2.154838709679999948e+07	1.063016294499999903e+00	1.333525200000000056e-02
2.312903225809999928e+07	1.069104030499999913e+00	1.563704380000000005e-02
2.470967741939999908e+07	1.077010711700000067e+00	1.613064020000000084e-02
2.629032258060000092e+07	1.071002405600000040e+00	2.398275500000000143e-02
2.787096774190000072e+07	1.081953522100000065e+00	1.080103729999999998e-02
2.945161290320000052e+07	1.075992873999999988e+00	8.005789699999999939e-03
3.103225806450000033e+07	1.090736201899999980e+00	2.142051160000000079e-02
3.261290322580000013e+07	1.093211011299999980e+00	3.154879099999999964e-02
3.419354838710000366e+07	1.092298701899999891e+00	7.860247000000000761e-03
3.577419354839999974e+07	1.084903776300000011e+00	1.047573520000000084e-02
3.735483870970000327e+07	1.102639342800000088e+00	1.620065749999999999e-02
3.893548387099999934e+07	1.099930782499999982e+00	7.950495700000000804e-03
4.051612903230000287e+07	1.102245597300000046e+00	2.990622769999999944e-02
4.209677419349999726e+07	1.101772421900000021e+00	1.148434199999999981e-02
4.367741935480000079e+07	1.103022875800000024e+00	1.830753040000000081e-02
4.525806451609999686e+07	1.107518609300000012e+00	2.949408200000000133e-02
4.683870967740000039e+07	1.108686229099999920e+00	3.472101009999999793e-02
4.841935483869999647e+07	1.109647331199999920e+00	1.274626870000000051e-02
5.000000000000000000e+07	1.116466957200000110e+00	1.437381230000000024e-02
