pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	6.005555555999999573e-01	7.126718980000000536e-02
6.343750000000000000e+04	2.841100000000000136e+01	1.063084122700000078e+00
1.258750000000000000e+05	4.428911111109999865e+01	1.660346029699999892e+00
1.883125000000000000e+05	5.352188888890000129e+01	4.385157908000000271e-01
2.507500000000000000e+05	5.972455555559999851e+01	2.366878279499999849e+00
3.131875000000000000e+05	6.297511111109999860e+01	1.157228148499999998e+00
3.756250000000000000e+05	6.643500000000000227e+01	2.418835552999999972e-01
4.380625000000000000e+05	6.975277777780000577e+01	1.347922590000000032e+00
5.005000000000000000e+05	7.181111111110000422e+01	1.457125023199999925e+00
5.629375000000000000e+05	7.410044444439999722e+01	1.681408639300000063e+00
6.253750000000000000e+05	7.551777777780000633e+01	5.477045252000000142e-01
6.878125000000000000e+05	7.576444444439999870e+01	1.232168218400000015e+00
7.502500000000000000e+05	7.823166666669999358e+01	9.138671054000000460e-01
8.126875000000000000e+05	7.878044444440000404e+01	1.721984126900000023e+00
8.751250000000000000e+05	7.934533333330000460e+01	3.208754890999999887e+00
9.375625000000000000e+05	8.072311111109999615e+01	1.105300718799999915e+00
1.000000000000000000e+06	8.103100000000000591e+01	9.438328476999999772e-01
2.580645161299999803e+06	9.062744444439999825e+01	7.110446497000000310e-01
4.161290322600000538e+06	9.431066666670000131e+01	1.767475342500000046e+00
5.741935483900000341e+06	9.713855555560000710e+01	1.245030933200000023e+00
7.322580645200000145e+06	9.811822222220000356e+01	1.087739847299999951e+00
8.903225806500000879e+06	9.962677777780000099e+01	4.959158630000000123e-01
1.048387096770000085e+07	1.010354444443999995e+02	1.143262042899999997e+00
1.206451612900000066e+07	1.023151111110999949e+02	2.016715138699999965e+00
1.364516129030000046e+07	1.021446666667000045e+02	1.533758169800000015e+00
1.522580645160000026e+07	1.035734444443999962e+02	1.950387792999999981e+00
1.680645161290000007e+07	1.033318888888999965e+02	1.229640638100000016e+00
1.838709677419999987e+07	1.037789999999999964e+02	2.052144846000000022e+00
1.996774193549999967e+07	1.042022222222000067e+02	1.767290316199999989e+00
2.154838709679999948e+07	1.040905555556000053e+02	1.305787875300000067e+00
2.312903225809999928e+07	1.046866666667000061e+02	1.531179324400000041e+00
2.470967741939999908e+07	1.054608888889000013e+02	1.579512285999999932e+00
2.629032258060000092e+07	1.048725555556000018e+02	2.348391369599999834e+00
2.787096774190000072e+07	1.059448888888999960e+02	1.057637572400000003e+00
2.945161290320000052e+07	1.053612222221999986e+02	7.839269303000000466e-01
3.103225806450000033e+07	1.068048888888999954e+02	2.097496497199999865e+00
3.261290322580000013e+07	1.070472222222000056e+02	3.089257611899999922e+00
3.419354838710000366e+07	1.069578888889000012e+02	7.696753844999999483e-01
3.577419354839999974e+07	1.062337777778000003e+02	1.025783987999999924e+00
3.735483870970000327e+07	1.079704444444000018e+02	1.586368381600000044e+00
3.893548387099999934e+07	1.077052222222000069e+02	7.785125417999999575e-01
4.051612903230000287e+07	1.079318888889000050e+02	2.928417817500000186e+00
4.209677419349999726e+07	1.078855555556000070e+02	1.124546767400000036e+00
4.367741935480000079e+07	1.080079999999999956e+02	1.792673374400000075e+00
4.525806451609999686e+07	1.084482222222000019e+02	2.888060513700000165e+00
4.683870967740000039e+07	1.085625555555999995e+02	3.399881305100000084e+00
4.841935483869999647e+07	1.086566666667000050e+02	1.248114627499999907e+00
5.000000000000000000e+07	1.093244444444000010e+02	1.407483701599999915e+00
