fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.615831500000000035e-03	2.272147999999999985e-04
6.343750000000000000e+04	9.893336960000000124e-02	2.456915699999999859e-03
1.258750000000000000e+05	1.920547385999999968e-01	8.542894699999999467e-03
1.883125000000000000e+05	2.882647966999999922e-01	7.847325599999999818e-03
2.507500000000000000e+05	3.696123820000000171e-01	2.021098299999999834e-02
3.131875000000000000e+05	4.689950979999999991e-01	8.927285000000000081e-03
3.756250000000000000e+05	5.425040850000000248e-01	2.002932639999999848e-02
4.380625000000000000e+05	6.254357297999999510e-01	3.451913790000000343e-02
5.005000000000000000e+05	7.247367465999999814e-01	2.029738440000000005e-02
5.629375000000000000e+05	7.942447349000000267e-01	4.619294289999999886e-02
6.253750000000000000e+05	8.749160312000000550e-01	3.267878219999999917e-02
6.878125000000000000e+05	9.506740195999999754e-01	4.323944529999999842e-02
7.502500000000000000e+05	1.027171840999999919e+00	1.999583560000000107e-02
8.126875000000000000e+05	1.102087872200000040e+00	3.945206949999999907e-02
8.751250000000000000e+05	1.175217864900000020e+00	1.910458320000000057e-02
9.375625000000000000e+05	1.237032498200000052e+00	1.083609009999999921e-02
1.000000000000000000e+06	1.324539306499999958e+00	3.655480109999999921e-02
2.580645161299999803e+06	2.678104575199999893e+00	3.631682840000000079e-02
4.161290322600000538e+06	3.571507352899999876e+00	3.062296390000000118e-02
5.741935483900000341e+06	4.330444353699999915e+00	5.468579149999999722e-02
7.322580645200000145e+06	4.937461419799999973e+00	6.081651670000000343e-02
8.903225806500000879e+06	5.506161492400000412e+00	3.857823910000000162e-02
1.048387096770000085e+07	5.999614197499999690e+00	5.430234169999999944e-02
1.206451612900000066e+07	6.461077069699999953e+00	5.886077470000000006e-02
1.364516129030000046e+07	6.869008714599999621e+00	3.205783899999999770e-02
1.522580645160000026e+07	7.212518155399999742e+00	2.910989270000000073e-02
1.680645161290000007e+07	7.516696169200000277e+00	3.611459100000000144e-02
1.838709677419999987e+07	7.809216140200000211e+00	3.742022760000000142e-02
1.996774193549999967e+07	8.045828794500000214e+00	6.651016020000000140e-02
2.154838709679999948e+07	8.279309640499999290e+00	5.323551869999999797e-02
2.312903225809999928e+07	8.455539669600000252e+00	4.265956299999999757e-02
2.470967741939999908e+07	8.643695533800000774e+00	5.152232600000000023e-02
2.629032258060000092e+07	8.793234840200000235e+00	7.641721629999999321e-02
2.787096774190000072e+07	8.974226125599999548e+00	2.677999409999999927e-02
2.945161290320000052e+07	9.114227033400000622e+00	6.769539169999999606e-02
3.103225806450000033e+07	9.280530591899999848e+00	2.938000220000000148e-02
3.261290322580000013e+07	9.402437363800000725e+00	4.487309230000000038e-02
3.419354838710000366e+07	9.507924836600000873e+00	1.144290189999999999e-02
3.577419354839999974e+07	9.621402959299999225e+00	7.157799010000000239e-02
3.735483870970000327e+07	9.744653231699999196e+00	3.942346709999999810e-02
3.893548387099999934e+07	9.854929193900000328e+00	2.181995680000000173e-02
4.051612903230000287e+07	9.978635620900000447e+00	5.868751900000000049e-02
4.209677419349999726e+07	1.005930464779999944e+01	6.907281949999999338e-02
4.367741935480000079e+07	1.014668436820000075e+01	7.635548070000000576e-02
4.525806451609999686e+07	1.022536537759999931e+01	4.759132490000000243e-02
4.683870967740000039e+07	1.033787218590000023e+01	5.026863349999999980e-02
4.841935483869999647e+07	1.040080110749999953e+01	4.940382349999999922e-02
5.000000000000000000e+07	1.047755537399999959e+01	3.466425749999999667e-02
