pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	7.911111110000000612e-02	1.112443649999999944e-02
6.343750000000000000e+04	4.843777777799999740e+00	1.202905945999999948e-01
1.258750000000000000e+05	9.403000000000000469e+00	4.182601234000000168e-01
1.883125000000000000e+05	1.411344444440000068e+01	3.842050636000000075e-01
2.507500000000000000e+05	1.809622222220000154e+01	9.895297298999999880e-01
3.131875000000000000e+05	2.296199999999999974e+01	4.370798724000000135e-01
3.756250000000000000e+05	2.656099999999999994e+01	9.806358229999999621e-01
4.380625000000000000e+05	3.062133333330000085e+01	1.690056993700000065e+00
5.005000000000000000e+05	3.548311111110000127e+01	9.937599381999999704e-01
5.629375000000000000e+05	3.888622222219999713e+01	2.261606486799999871e+00
6.253750000000000000e+05	4.283588888890000135e+01	1.599953178300000056e+00
6.878125000000000000e+05	4.654500000000000171e+01	2.117003239499999800e+00
7.502500000000000000e+05	5.029033333329999778e+01	9.789961096999999501e-01
8.126875000000000000e+05	5.395822222219999986e+01	1.931573323999999925e+00
8.751250000000000000e+05	5.753866666670000285e+01	9.353603914000000463e-01
9.375625000000000000e+05	6.056511111110000201e+01	5.305349733999999984e-01
1.000000000000000000e+06	6.484944444440000666e+01	1.789723062900000050e+00
2.580645161299999803e+06	1.311200000000000045e+02	1.778071920099999925e+00
4.161290322600000538e+06	1.748609999999999900e+02	1.499300314200000095e+00
5.741935483900000341e+06	2.120185555555999883e+02	2.677416351799999816e+00
7.322580645200000145e+06	2.417381111111000109e+02	2.977576659899999978e+00
8.903225806500000879e+06	2.695816666667000163e+02	1.888790585700000024e+00
1.048387096770000085e+07	2.937411111110999968e+02	2.658642650100000004e+00
1.206451612900000066e+07	3.163343333332999805e+02	2.881823531099999780e+00
1.364516129030000046e+07	3.363066666666999822e+02	1.569551795700000030e+00
1.522580645160000026e+07	3.531248888888999886e+02	1.425220346899999990e+00
1.680645161290000007e+07	3.680174444443999846e+02	1.768170373300000042e+00
1.838709677419999987e+07	3.823392222222000214e+02	1.832094342300000012e+00
1.996774193549999967e+07	3.939237777778000122e+02	3.256337441199999905e+00
2.154838709679999948e+07	4.053550000000000182e+02	2.606410994400000014e+00
2.312903225809999928e+07	4.139832222222000269e+02	2.088612203899999908e+00
2.470967741939999908e+07	4.231953333333000273e+02	2.522533079300000036e+00
2.629032258060000092e+07	4.305167777777999731e+02	3.741386908600000005e+00
2.787096774190000072e+07	4.393781111110999973e+02	1.311148511699999908e+00
2.945161290320000052e+07	4.462325555556000154e+02	3.314366378999999974e+00
3.103225806450000033e+07	4.543747777777999772e+02	1.438444907999999911e+00
3.261290322580000013e+07	4.603433333332999950e+02	2.196986600699999848e+00
3.419354838710000366e+07	4.655079999999999814e+02	5.602444793999999950e-01
3.577419354839999974e+07	4.710638888889000100e+02	3.504458394999999893e+00
3.735483870970000327e+07	4.770982222221999791e+02	1.930172946899999964e+00
3.893548387099999934e+07	4.824973333332999914e+02	1.068305084099999913e+00
4.051612903230000287e+07	4.885539999999999736e+02	2.873340929799999888e+00
4.209677419349999726e+07	4.925035555555999736e+02	3.381805245099999802e+00
4.367741935480000079e+07	4.967816666667000050e+02	3.738364334999999983e+00
4.525806451609999686e+07	5.006338888889000032e+02	2.330071264699999922e+00
4.683870967740000039e+07	5.061422222222000187e+02	2.461152294700000187e+00
4.841935483869999647e+07	5.092232222221999791e+02	2.418811196600000102e+00
5.000000000000000000e+07	5.129811111110999491e+02	1.697162046499999910e+00
