fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.155705300000000029e-03	1.500913000000000041e-04
6.343750000000000000e+04	7.019846130000000073e-02	3.043129299999999988e-03
1.258750000000000000e+05	1.408581835999999921e-01	4.769460500000000276e-03
1.883125000000000000e+05	2.098924292000000080e-01	8.221848800000000623e-03
2.507500000000000000e+05	2.730800654000000161e-01	1.574947839999999918e-02
3.131875000000000000e+05	3.326763343999999956e-01	1.156130349999999994e-02
3.756250000000000000e+05	3.927593953999999887e-01	1.946342549999999921e-02
4.380625000000000000e+05	4.522841776000000036e-01	1.073412879999999930e-02
5.005000000000000000e+05	5.154956427000000341e-01	2.344804600000000017e-02
5.629375000000000000e+05	5.703363289999999752e-01	2.136000089999999865e-02
6.253750000000000000e+05	6.374472357999999561e-01	1.678687640000000106e-02
6.878125000000000000e+05	6.928513071999999884e-01	2.137627829999999909e-02
7.502500000000000000e+05	7.473549836999999751e-01	1.723729759999999972e-02
8.126875000000000000e+05	8.089835239999999539e-01	2.265659110000000157e-02
8.751250000000000000e+05	8.655603214000000545e-01	2.285393139999999934e-02
9.375625000000000000e+05	9.113630174000000306e-01	3.182971839999999830e-02
1.000000000000000000e+06	9.532747821000000510e-01	2.085164369999999850e-02
2.580645161299999803e+06	1.898238357799999942e+00	3.640465810000000080e-02
4.161290322600000538e+06	2.497778799000000216e+00	3.389238730000000005e-02
5.741935483900000341e+06	2.936230255999999983e+00	3.712302690000000155e-02
7.322580645200000145e+06	3.245458877999999991e+00	1.457842569999999970e-02
8.903225806500000879e+06	3.513313589300000039e+00	4.326942649999999946e-02
1.048387096770000085e+07	3.691547521800000009e+00	1.618816520000000009e-02
1.206451612900000066e+07	3.861698325199999893e+00	3.203317459999999867e-02
1.364516129030000046e+07	3.985871119300000043e+00	4.349743570000000337e-02
1.522580645160000026e+07	4.091964528900000175e+00	4.029591789999999868e-02
1.680645161290000007e+07	4.178981141100000407e+00	3.566131210000000190e-02
1.838709677419999987e+07	4.258883101900000412e+00	2.607822859999999951e-02
1.996774193549999967e+07	4.357672930299999692e+00	1.494414890000000072e-02
2.154838709679999948e+07	4.398035811499999781e+00	3.190545079999999867e-02
2.312903225809999928e+07	4.468792551700000004e+00	1.194438259999999925e-02
2.470967741939999908e+07	4.509676266299999625e+00	4.718788559999999993e-02
2.629032258060000092e+07	4.568479370899999559e+00	2.309125059999999827e-02
2.787096774190000072e+07	4.621221405200000021e+00	3.234169850000000179e-02
2.945161290320000052e+07	4.681280637300000436e+00	5.084686549999999777e-02
3.103225806450000033e+07	4.735372412900000327e+00	3.975352430000000242e-02
3.261290322580000013e+07	4.772974536999999629e+00	3.184912310000000135e-02
3.419354838710000366e+07	4.813834422700000282e+00	4.866156459999999850e-02
3.577419354839999974e+07	4.835118804500000422e+00	4.862568550000000156e-02
3.735483870970000327e+07	4.889564610599999916e+00	2.071729049999999905e-02
3.893548387099999934e+07	4.916714324600000019e+00	4.025501979999999980e-02
4.051612903230000287e+07	4.962127246699999716e+00	1.669012590000000171e-02
4.209677419349999726e+07	4.986810661799999878e+00	4.118659899999999735e-02
4.367741935480000079e+07	5.016937295800000030e+00	1.984022120000000083e-02
4.525806451609999686e+07	5.039714392699999657e+00	3.113153459999999997e-02
4.683870967740000039e+07	5.063480392199999791e+00	6.652971359999999834e-02
4.841935483869999647e+07	5.093310866000000381e+00	4.219724419999999754e-02
5.000000000000000000e+07	5.105756399799999734e+00	2.879143660000000118e-02
