pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	7.544444440000000474e-02	9.797959000000000182e-03
6.343750000000000000e+04	4.582555555599999941e+00	1.986554806999999978e-01
1.258750000000000000e+05	9.195222222199999962e+00	3.113503841999999966e-01
1.883125000000000000e+05	1.370177777780000028e+01	5.367222884000000249e-01
2.507500000000000000e+05	1.782666666669999955e+01	1.028125946999999929e+00
3.131875000000000000e+05	2.171711111109999948e+01	7.547218930000000325e-01
3.756250000000000000e+05	2.563933333330000153e+01	1.270572418900000056e+00
4.380625000000000000e+05	2.952511111109999931e+01	7.007239290000000231e-01
5.005000000000000000e+05	3.365155555559999812e+01	1.530688443500000107e+00
5.629375000000000000e+05	3.723155555560000352e+01	1.394380857300000054e+00
6.253750000000000000e+05	4.161255555559999664e+01	1.095847290400000063e+00
6.878125000000000000e+05	4.522933333329999783e+01	1.395443449100000066e+00
7.502500000000000000e+05	4.878733333329999766e+01	1.125250786899999911e+00
8.126875000000000000e+05	5.281044444439999808e+01	1.479022266300000110e+00
8.751250000000000000e+05	5.650377777780000343e+01	1.491904640600000054e+00
9.375625000000000000e+05	5.949377777779999832e+01	2.077844015600000205e+00
1.000000000000000000e+06	6.222977777780000253e+01	1.361195299000000025e+00
2.580645161299999803e+06	1.239170000000000016e+02	2.376496082400000098e+00
4.161290322600000538e+06	1.630550000000000068e+02	2.212495044300000213e+00
5.741935483900000341e+06	1.916771111111000039e+02	2.423391195999999859e+00
7.322580645200000145e+06	2.118635555555999872e+02	9.516796328000000083e-01
8.903225806500000879e+06	2.293491111111000009e+02	2.824628160800000121e+00
1.048387096770000085e+07	2.409842222222000032e+02	1.056763425900000053e+00
1.206451612900000066e+07	2.520916666667000072e+02	2.091125634600000005e+00
1.364516129030000046e+07	2.601976666667000018e+02	2.839512599499999901e+00
1.522580645160000026e+07	2.671234444443999791e+02	2.630517519400000115e+00
1.680645161290000007e+07	2.728038888889000191e+02	2.327970450800000091e+00
1.838709677419999987e+07	2.780198888889000273e+02	1.702386763100000033e+00
1.996774193549999967e+07	2.844688888888999827e+02	9.755540369999999850e-01
2.154838709679999948e+07	2.871037777778000191e+02	2.082787827799999825e+00
2.312903225809999928e+07	2.917227777777999904e+02	7.797292977999999986e-01
2.470967741939999908e+07	2.943916666667000186e+02	3.080425175099999802e+00
2.629032258060000092e+07	2.982303333332999955e+02	1.507396840500000001e+00
2.787096774190000072e+07	3.016733333332999791e+02	2.111266076200000175e+00
2.945161290320000052e+07	3.055939999999999941e+02	3.319283382400000093e+00
3.103225806450000033e+07	3.091251111111000114e+02	2.595110064500000036e+00
3.261290322580000013e+07	3.115797777778000182e+02	2.079110754799999849e+00
3.419354838710000366e+07	3.142471111111000255e+02	3.176626939999999788e+00
3.577419354839999974e+07	3.156365555556000118e+02	3.174284746900000176e+00
3.735483870970000327e+07	3.191907777778000082e+02	1.352424726900000040e+00
3.893548387099999934e+07	3.209631111110999768e+02	2.627847694599999784e+00
4.051612903230000287e+07	3.239276666667000200e+02	1.089531420399999950e+00
4.209677419349999726e+07	3.255389999999999873e+02	2.688661184099999879e+00
4.367741935480000079e+07	3.275056666666999945e+02	1.295169639500000081e+00
4.525806451609999686e+07	3.289925555556000063e+02	2.032266581100000025e+00
4.683870967740000039e+07	3.305439999999999827e+02	4.343059705399999970e+00
4.841935483869999647e+07	3.324913333333000196e+02	2.754636101100000012e+00
5.000000000000000000e+07	3.333037777778000077e+02	1.879504978199999954e+00
