pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	9.177777780000000163e-02	1.803152250000000095e-02
6.343750000000000000e+04	5.450999999999999623e+00	3.833744904999999981e-01
1.258750000000000000e+05	1.073144444439999923e+01	4.781061403999999904e-01
1.883125000000000000e+05	1.578655555559999968e+01	1.194274075700000104e+00
2.507500000000000000e+05	2.101955555560000022e+01	9.564800179000000346e-01
3.131875000000000000e+05	2.562288888890000038e+01	9.871113611999999815e-01
3.756250000000000000e+05	3.032077777780000005e+01	8.848331363000000449e-01
4.380625000000000000e+05	3.550544444439999836e+01	1.522881349599999989e+00
5.005000000000000000e+05	3.993088888890000021e+01	1.867499761199999941e+00
5.629375000000000000e+05	4.510199999999999676e+01	1.168147969699999900e+00
6.253750000000000000e+05	4.971322222220000242e+01	4.830455847999999830e-01
6.878125000000000000e+05	5.442477777780000281e+01	1.821616511800000060e+00
7.502500000000000000e+05	5.909944444439999955e+01	2.183831382300000179e+00
8.126875000000000000e+05	6.296533333330000204e+01	1.163936827399999929e+00
8.751250000000000000e+05	6.853555555559999846e+01	1.906168932699999985e+00
9.375625000000000000e+05	7.193288888889999555e+01	1.111769227299999940e+00
1.000000000000000000e+06	7.601044444439999381e+01	7.745107257000000134e-01
2.580645161299999803e+06	1.604816666666999936e+02	2.080441192499999925e+00
4.161290322600000538e+06	2.221040000000000134e+02	3.157129294599999803e+00
5.741935483900000341e+06	2.775478888888999904e+02	3.686417338000000044e+00
7.322580645200000145e+06	3.271682222221999723e+02	2.752136624499999851e+00
8.903225806500000879e+06	3.775774444443999869e+02	3.517405230500000091e+00
1.048387096770000085e+07	4.225441111110999941e+02	2.251635849799999978e+00
1.206451612900000066e+07	4.679343333333000032e+02	5.026669486200000314e+00
1.364516129030000046e+07	5.099147777777999977e+02	2.713923186400000187e+00
1.522580645160000026e+07	5.486416666666999618e+02	3.627021973300000202e+00
1.680645161290000007e+07	5.835908888889000536e+02	2.150932338900000129e+00
1.838709677419999987e+07	6.169457777778000036e+02	2.764762986300000058e+00
1.996774193549999967e+07	6.510913333332999855e+02	1.323505744800000050e+00
2.154838709679999948e+07	6.782198888888999591e+02	3.790112438500000014e+00
2.312903225809999928e+07	7.029465555555999572e+02	3.074213290899999951e+00
2.470967741939999908e+07	7.299087777777999690e+02	2.501883280799999998e+00
2.629032258060000092e+07	7.542931111110999609e+02	2.139318294599999781e+00
2.787096774190000072e+07	7.778164444443999628e+02	4.078445092199999955e+00
2.945161290320000052e+07	7.993830000000000382e+02	2.752757414600000008e+00
3.103225806450000033e+07	8.188433333333000519e+02	3.154696361900000134e+00
3.261290322580000013e+07	8.370891111111000100e+02	3.200020725399999932e+00
3.419354838710000366e+07	8.519258888888999763e+02	3.194402248999999916e+00
3.577419354839999974e+07	8.698890000000000100e+02	2.311176430500000212e+00
3.735483870970000327e+07	8.809792222221999509e+02	2.176943672400000196e+00
3.893548387099999934e+07	8.938635555555999872e+02	1.936594516700000046e+00
4.051612903230000287e+07	9.068117777777999891e+02	6.160368892300000176e+00
4.209677419349999726e+07	9.177595555555999454e+02	4.043469931499999781e+00
4.367741935480000079e+07	9.286312222221999946e+02	3.130007012900000163e+00
4.525806451609999686e+07	9.365834444444000155e+02	4.940891677399999793e+00
4.683870967740000039e+07	9.479525555556000427e+02	1.547439876899999955e+00
4.841935483869999647e+07	9.555447777778000500e+02	2.572263508399999843e+00
5.000000000000000000e+07	9.631530000000000200e+02	2.544702810600000031e+00
