fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.874546099999999972e-03	3.682908999999999944e-04
6.343750000000000000e+04	1.113357843000000041e-01	7.830361299999999761e-03
1.258750000000000000e+05	2.191879992999999915e-01	9.765239800000000484e-03
1.883125000000000000e+05	3.224378177000000179e-01	2.439285290000000120e-02
2.507500000000000000e+05	4.293209876999999897e-01	1.953594809999999876e-02
3.131875000000000000e+05	5.233433187999999570e-01	2.016158830000000166e-02
3.756250000000000000e+05	6.192969316999999974e-01	1.807257220000000122e-02
4.380625000000000000e+05	7.251929012000000174e-01	3.110460270000000096e-02
5.005000000000000000e+05	8.155818808999999447e-01	3.814337749999999888e-02
5.629375000000000000e+05	9.212009803999999802e-01	2.385923139999999998e-02
6.253750000000000000e+05	1.015384440799999899e+00	9.866127100000000177e-03
6.878125000000000000e+05	1.111617193200000075e+00	3.720621959999999978e-02
7.502500000000000000e+05	1.207096495999999908e+00	4.460439909999999730e-02
8.126875000000000000e+05	1.286056644899999934e+00	2.377321950000000142e-02
8.751250000000000000e+05	1.399827523599999957e+00	3.893318899999999999e-02
9.375625000000000000e+05	1.469217501799999992e+00	2.270770479999999897e-02
1.000000000000000000e+06	1.552500907800000052e+00	1.581925500000000082e-02
2.580645161299999803e+06	3.277811819200000087e+00	4.249267140000000109e-02
4.161290322600000538e+06	4.536437908499999949e+00	6.448384999999999534e-02
5.741935483900000341e+06	5.668870279600000117e+00	7.529447179999999851e-02
7.322580645200000145e+06	6.682357480000000294e+00	5.621194090000000004e-02
8.903225806500000879e+06	7.711957607099999557e+00	7.184242709999999477e-02
1.048387096770000085e+07	8.630394426300000532e+00	4.598929429999999707e-02
1.206451612900000066e+07	9.557482298500000084e+00	1.026689028999999975e-01
1.364516129030000046e+07	1.041492601670000084e+01	5.543143760000000114e-02
1.522580645160000026e+07	1.120591639430000086e+01	7.408133120000000293e-02
1.680645161290000007e+07	1.191974854759999936e+01	4.393244159999999676e-02
1.838709677419999987e+07	1.260101670300000087e+01	5.646983220000000026e-02
1.996774193549999967e+07	1.329843409589999936e+01	2.703238859999999855e-02
2.154838709679999948e+07	1.385253041029999999e+01	7.741242730000000294e-02
2.312903225809999928e+07	1.435756853670000055e+01	6.279030409999999951e-02
2.470967741939999908e+07	1.490826752000000077e+01	5.110055720000000051e-02
2.629032258060000092e+07	1.540631354389999963e+01	4.369522659999999781e-02
2.787096774190000072e+07	1.588677378360000070e+01	8.330157459999999736e-02
2.945161290320000052e+07	1.632726715689999963e+01	5.622462040000000133e-02
3.103225806450000033e+07	1.672474128540000038e+01	6.443415769999999432e-02
3.261290322580000013e+07	1.709740831519999915e+01	6.535990040000000389e-02
3.419354838710000366e+07	1.740044707699999904e+01	6.524514400000000491e-02
3.577419354839999974e+07	1.776734068629999896e+01	4.720540100000000100e-02
3.735483870970000327e+07	1.799385666299999897e+01	4.446371880000000304e-02
3.893548387099999934e+07	1.825701706610000130e+01	3.955462659999999658e-02
4.051612903230000287e+07	1.852148238930000090e+01	1.258245279999999910e-01
4.209677419349999726e+07	1.874508896149999870e+01	8.258721269999999559e-02
4.367741935480000079e+07	1.896714097679999966e+01	6.392988180000000464e-02
4.525806451609999686e+07	1.912956381629999925e+01	1.009169052000000039e-01
4.683870967740000039e+07	1.936177605299999982e+01	3.160620659999999887e-02
4.841935483869999647e+07	1.951684595129999877e+01	5.253806190000000209e-02
5.000000000000000000e+07	1.967224264709999915e+01	5.197513909999999793e-02
