fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.062091499999999987e-03	1.243326999999999963e-04
6.343750000000000000e+04	7.252519059999999740e-02	4.528529100000000356e-03
1.258750000000000000e+05	1.411475353999999960e-01	3.112835600000000199e-03
1.883125000000000000e+05	2.098107298000000120e-01	2.086007100000000000e-03
2.507500000000000000e+05	2.753676471000000014e-01	6.719278000000000403e-03
3.131875000000000000e+05	3.319801879000000011e-01	1.225477900000000037e-02
3.756250000000000000e+05	3.964460784000000126e-01	7.776234800000000197e-03
4.380625000000000000e+05	4.650377859000000003e-01	8.472980300000000284e-03
5.005000000000000000e+05	5.220894607999999604e-01	2.839770289999999850e-02
5.629375000000000000e+05	5.905926607000000494e-01	2.298688600000000151e-02
6.253750000000000000e+05	6.325980392000000174e-01	2.774567730000000038e-02
6.878125000000000000e+05	6.946572032000000174e-01	2.438830599999999849e-02
7.502500000000000000e+05	7.559844771000000518e-01	2.732198950000000112e-02
8.126875000000000000e+05	8.161577478000000552e-01	9.804816299999999721e-03
8.751250000000000000e+05	8.567214733000000360e-01	3.695671710000000137e-02
9.375625000000000000e+05	9.128284995000000013e-01	2.564450999999999883e-02
1.000000000000000000e+06	9.663109341000000185e-01	2.234188239999999881e-02
2.580645161299999803e+06	1.912899986400000030e+00	1.563121220000000117e-02
4.161290322600000538e+06	2.570526960800000094e+00	3.871527250000000170e-02
5.741935483900000341e+06	3.054890046300000161e+00	2.973447770000000115e-02
7.322580645200000145e+06	3.469835920500000004e+00	3.718757479999999782e-02
8.903225806500000879e+06	3.814185049000000216e+00	4.763096299999999839e-02
1.048387096770000085e+07	4.119532952100000145e+00	5.129975850000000059e-02
1.206451612900000066e+07	4.405291734699999573e+00	2.385498549999999843e-02
1.364516129030000046e+07	4.585471132900000413e+00	3.707036479999999828e-02
1.522580645160000026e+07	4.780247480899999957e+00	3.164432689999999854e-02
1.680645161290000007e+07	4.950177015300000427e+00	4.992962439999999724e-02
1.838709677419999987e+07	5.069657203200000239e+00	4.687186520000000134e-02
1.996774193549999967e+07	5.206842320299999827e+00	2.395744090000000159e-02
2.154838709679999948e+07	5.321200980399999558e+00	4.008529009999999698e-02
2.312903225809999928e+07	5.424909790300000090e+00	2.707041279999999883e-02
2.470967741939999908e+07	5.525262118699999725e+00	2.201039169999999962e-02
2.629032258060000092e+07	5.623573665600000382e+00	4.507400909999999955e-02
2.787096774190000072e+07	5.699994893799999574e+00	3.661708179999999951e-02
2.945161290320000052e+07	5.782061887300000258e+00	2.380584729999999857e-02
3.103225806450000033e+07	5.885323052799999566e+00	4.821691160000000226e-02
3.261290322580000013e+07	5.944892088799999641e+00	2.132414620000000136e-02
3.419354838710000366e+07	5.994619757599999765e+00	4.132406610000000091e-02
3.577419354839999974e+07	6.073097086099999764e+00	2.267392840000000132e-02
3.735483870970000327e+07	6.137569784900000158e+00	4.917612450000000135e-02
3.893548387099999934e+07	6.178587963000000016e+00	4.242445200000000138e-02
4.051612903230000287e+07	6.228892633400000101e+00	2.373586700000000077e-02
4.209677419349999726e+07	6.267938112699999564e+00	3.222879039999999862e-02
4.367741935480000079e+07	6.335222630699999691e+00	2.865865310000000055e-02
4.525806451609999686e+07	6.369815495600000155e+00	3.710397430000000191e-02
4.683870967740000039e+07	6.406682325700000291e+00	3.764339249999999748e-02
4.841935483869999647e+07	6.452107162299999921e+00	3.245337470000000252e-02
5.000000000000000000e+07	6.484237132399999659e+00	2.395053269999999901e-02
