pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	6.933333329999999406e-02	8.116436600000000515e-03
6.343750000000000000e+04	4.734444444400000229e+00	2.956223818000000003e-01
1.258750000000000000e+05	9.214111111099999363e+00	2.032059102999999867e-01
1.883125000000000000e+05	1.369644444440000086e+01	1.361745430000000090e-01
2.507500000000000000e+05	1.797599999999999909e+01	4.386344691999999879e-01
3.131875000000000000e+05	2.167166666669999842e+01	7.999919752999999911e-01
3.756250000000000000e+05	2.587999999999999901e+01	5.076326075000000548e-01
4.380625000000000000e+05	3.035766666669999836e+01	5.531161555000000396e-01
5.005000000000000000e+05	3.408200000000000074e+01	1.853802045699999956e+00
5.629375000000000000e+05	3.855388888889999777e+01	1.500583919299999902e+00
6.253750000000000000e+05	4.129599999999999937e+01	1.811237814200000074e+00
6.878125000000000000e+05	4.534722222220000276e+01	1.592068613199999927e+00
7.502500000000000000e+05	4.935066666670000046e+01	1.783579477600000018e+00
8.126875000000000000e+05	5.327877777780000201e+01	6.400584078000000066e-01
8.751250000000000000e+05	5.592677777779999815e+01	2.412534490300000112e+00
9.375625000000000000e+05	5.958944444440000154e+01	1.674073615199999976e+00
1.000000000000000000e+06	6.308077777780000162e+01	1.458478083799999991e+00
2.580645161299999803e+06	1.248741111111000066e+02	1.020405535499999905e+00
4.161290322600000538e+06	1.678040000000000020e+02	2.527332991399999784e+00
5.741935483900000341e+06	1.994232222221999962e+02	1.941066704300000056e+00
7.322580645200000145e+06	2.265108888889000127e+02	2.427604885800000112e+00
8.903225806500000879e+06	2.489900000000000091e+02	3.109349262999999919e+00
1.048387096770000085e+07	2.689231111111000132e+02	3.348848233900000082e+00
1.206451612900000066e+07	2.875774444443999869e+02	1.557253454300000062e+00
1.364516129030000046e+07	2.993395555555999863e+02	2.419953412499999956e+00
1.522580645160000026e+07	3.120545555556000181e+02	2.065741656800000214e+00
1.680645161290000007e+07	3.231475555555999790e+02	3.259405883899999967e+00
1.838709677419999987e+07	3.309472222222000255e+02	3.059795361499999977e+00
1.996774193549999967e+07	3.399026666666999859e+02	1.563941743700000053e+00
2.154838709679999948e+07	3.473679999999999950e+02	2.616767735699999875e+00
2.312903225809999928e+07	3.541381111110999882e+02	1.767156549799999921e+00
2.470967741939999908e+07	3.606891111110999759e+02	1.436838367300000030e+00
2.629032258060000092e+07	3.671068888889000164e+02	2.942431311800000060e+00
2.787096774190000072e+07	3.720956666667000263e+02	2.390363100700000132e+00
2.945161290320000052e+07	3.774529999999999745e+02	1.554045711699999943e+00
3.103225806450000033e+07	3.841938888889000054e+02	3.147599987200000005e+00
3.261290322580000013e+07	3.880825555555999813e+02	1.392040264800000093e+00
3.419354838710000366e+07	3.913287777777999850e+02	2.697635031899999980e+00
3.577419354839999974e+07	3.964517777777999754e+02	1.480154046100000009e+00
3.735483870970000327e+07	4.006605555556000127e+02	3.210217407400000056e+00
3.893548387099999934e+07	4.033382222221999882e+02	2.769468229000000115e+00
4.051612903230000287e+07	4.066221111111000255e+02	1.549477395000000035e+00
4.209677419349999726e+07	4.091709999999999923e+02	2.103895434600000058e+00
4.367741935480000079e+07	4.135633333333000223e+02	1.870836876200000054e+00
4.525806451609999686e+07	4.158215555556000140e+02	2.422147440299999843e+00
4.683870967740000039e+07	4.182282222221999746e+02	2.457360663799999845e+00
4.841935483869999647e+07	4.211935555556000281e+02	2.118556298500000157e+00
5.000000000000000000e+07	4.232909999999999968e+02	1.563490776300000107e+00
