pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	8.544444439999999974e-02	9.173229999999999232e-03
6.343750000000000000e+04	5.503888888899999721e+00	1.740100749000000058e-01
1.258750000000000000e+05	1.105377777780000059e+01	1.804266548000000026e-01
1.883125000000000000e+05	1.628344444440000061e+01	6.403673329000000303e-01
2.507500000000000000e+05	2.118322222220000128e+01	1.081384206699999906e+00
3.131875000000000000e+05	2.607522222220000074e+01	1.421794658000000044e+00
3.756250000000000000e+05	3.073133333330000028e+01	6.176293187000000406e-01
4.380625000000000000e+05	3.561999999999999744e+01	6.308469713000000034e-01
5.005000000000000000e+05	4.037444444439999813e+01	1.371354741500000030e+00
5.629375000000000000e+05	4.578344444439999705e+01	1.030012441500000042e+00
6.253750000000000000e+05	5.077066666670000217e+01	4.287054299999999984e-01
6.878125000000000000e+05	5.443244444439999796e+01	2.036248741700000142e+00
7.502500000000000000e+05	5.920022222219999719e+01	2.401692777500000098e+00
8.126875000000000000e+05	6.380244444440000251e+01	1.584481470699999894e+00
8.751250000000000000e+05	6.824266666670000347e+01	2.347234085399999781e+00
9.375625000000000000e+05	7.227599999999999625e+01	1.133302483200000044e+00
1.000000000000000000e+06	7.667533333330000289e+01	1.315594518900000010e+00
2.580645161299999803e+06	1.600676666667000063e+02	1.607612354200000038e+00
4.161290322600000538e+06	2.232112222222000071e+02	1.832903033700000073e+00
5.741935483900000341e+06	2.782223333333000141e+02	2.657956459999999854e+00
7.322580645200000145e+06	3.304855555556000013e+02	4.136418860300000055e+00
8.903225806500000879e+06	3.792245555555999772e+02	2.610236676199999994e+00
1.048387096770000085e+07	4.262885555555999986e+02	1.546108072900000074e+00
1.206451612900000066e+07	4.720216666667000140e+02	2.898395128499999807e+00
1.364516129030000046e+07	5.131951111111000046e+02	2.365799987299999962e+00
1.522580645160000026e+07	5.528559999999999945e+02	5.069297484599999848e+00
1.680645161290000007e+07	5.880606666666999445e+02	3.116460908200000102e+00
1.838709677419999987e+07	6.211751111111000228e+02	3.121796602099999873e+00
1.996774193549999967e+07	6.542740000000000009e+02	1.442002448700000050e+00
2.154838709679999948e+07	6.833576666666999699e+02	4.424779238400000203e+00
2.312903225809999928e+07	7.079884444443999882e+02	2.485721039700000023e+00
2.470967741939999908e+07	7.341051111110999727e+02	3.787856125099999804e+00
2.629032258060000092e+07	7.553405555555999626e+02	3.591517647599999918e+00
2.787096774190000072e+07	7.744601111110999909e+02	2.213314970999999964e+00
2.945161290320000052e+07	7.952935555556000509e+02	3.127082464699999953e+00
3.103225806450000033e+07	8.147561111111000400e+02	1.948214123599999903e+00
3.261290322580000013e+07	8.324299999999999500e+02	5.343593233200000014e+00
3.419354838710000366e+07	8.460003333332999773e+02	3.846155919600000139e+00
3.577419354839999974e+07	8.626726666667000245e+02	3.398919319800000061e+00
3.735483870970000327e+07	8.762697777777999590e+02	2.589692827099999928e+00
3.893548387099999934e+07	8.910423333333000073e+02	3.371305524199999848e+00
4.051612903230000287e+07	9.037686666667000281e+02	1.692331520600000028e+00
4.209677419349999726e+07	9.154592222221999691e+02	3.980197439099999901e+00
4.367741935480000079e+07	9.277134444444000110e+02	2.022119826499999995e+00
4.525806451609999686e+07	9.388615555556000345e+02	1.866248551099999986e+00
4.683870967740000039e+07	9.493891111110999645e+02	2.839568442100000034e+00
4.841935483869999647e+07	9.589681111111000291e+02	2.986282515100000090e+00
5.000000000000000000e+07	9.689813333332999719e+02	3.760627384000000184e+00
