fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.745188800000000004e-03	1.873617000000000056e-04
6.343750000000000000e+04	1.124160312000000023e-01	3.554127299999999910e-03
1.258750000000000000e+05	2.257716049000000058e-01	3.685184900000000076e-03
1.883125000000000000e+05	3.325866921000000254e-01	1.307939810000000036e-02
2.507500000000000000e+05	4.326638526000000096e-01	2.208709569999999997e-02
3.131875000000000000e+05	5.325821532000000191e-01	2.903992359999999981e-02
3.756250000000000000e+05	6.276824618999999883e-01	1.261497789999999931e-02
4.380625000000000000e+05	7.275326797000000179e-01	1.288494630000000009e-02
5.005000000000000000e+05	8.246414305999999472e-01	2.800969650000000033e-02
5.629375000000000000e+05	9.351193718000000432e-01	2.103783580000000153e-02
6.253750000000000000e+05	1.036982570800000003e+00	8.756238399999999658e-03
6.878125000000000000e+05	1.111773783599999899e+00	4.159004780000000179e-02
7.502500000000000000e+05	1.209154865599999962e+00	4.905418250000000147e-02
8.126875000000000000e+05	1.303154502499999978e+00	3.236277509999999774e-02
8.751250000000000000e+05	1.393845315899999937e+00	4.794187269999999890e-02
9.375625000000000000e+05	1.476225490200000046e+00	2.314751799999999887e-02
1.000000000000000000e+06	1.566081154699999978e+00	2.687080310000000000e-02
2.580645161299999803e+06	3.269355936799999807e+00	3.283521970000000123e-02
4.161290322600000538e+06	4.559052741500000394e+00	3.743674500000000044e-02
5.741935483900000341e+06	5.682645697199999901e+00	5.428832640000000320e-02
7.322580645200000145e+06	6.750113471299999723e+00	8.448567930000000503e-02
8.903225806500000879e+06	7.745599582399999683e+00	5.331365760000000148e-02
1.048387096770000085e+07	8.706874092199999637e+00	3.157900479999999760e-02
1.206451612900000066e+07	9.640965413900000058e+00	5.919924690000000211e-02
1.364516129030000046e+07	1.048192628900000045e+01	4.832107819999999915e-02
1.522580645160000026e+07	1.129199346410000082e+01	1.035395727999999932e-01
1.680645161290000007e+07	1.201104302829999959e+01	6.365320480000000170e-02
1.838709677419999987e+07	1.268740014519999981e+01	6.376218549999999874e-02
1.996774193549999967e+07	1.336343954250000010e+01	2.945266439999999833e-02
2.154838709679999948e+07	1.395746868190000001e+01	9.037539290000000392e-02
2.312903225809999928e+07	1.446054829340000047e+01	5.077044609999999819e-02
2.470967741939999908e+07	1.499397694259999980e+01	7.736634239999999607e-02
2.629032258060000092e+07	1.542770742559999952e+01	7.335616109999999745e-02
2.787096774190000072e+07	1.581822122370000017e+01	4.520659660000000274e-02
2.945161290320000052e+07	1.624374092229999889e+01	6.387014840000000693e-02
3.103225806450000033e+07	1.664126043939999988e+01	3.979195509999999825e-02
3.261290322580000013e+07	1.700224673199999970e+01	1.091420186999999958e-01
3.419354838710000366e+07	1.727941857300000095e+01	7.855710620000000421e-02
3.577419354839999974e+07	1.761994825709999901e+01	6.942237169999999902e-02
3.735483870970000327e+07	1.789766702980000090e+01	5.289405280000000070e-02
3.893548387099999934e+07	1.819939406319999975e+01	6.885836450000000497e-02
4.051612903230000287e+07	1.845932734200000169e+01	3.456559480000000184e-02
4.209677419349999726e+07	1.869810502900000060e+01	8.129488229999999593e-02
4.367741935480000079e+07	1.894839551560000146e+01	4.130146700000000143e-02
4.525806451609999686e+07	1.917609386350000023e+01	3.811782169999999859e-02
4.683870967740000039e+07	1.939111746549999893e+01	5.799772140000000048e-02
4.841935483869999647e+07	1.958676697530000155e+01	6.099433239999999673e-02
5.000000000000000000e+07	1.979128540310000162e+01	7.681019980000000635e-02
