pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	7.744444440000000651e-02	1.166613759999999937e-02
6.343750000000000000e+04	4.743666666700000256e+00	1.625166278000000075e-01
1.258750000000000000e+05	9.169333333300000888e+00	2.534798796000000132e-01
1.883125000000000000e+05	1.381255555559999948e+01	8.575271943000000174e-01
2.507500000000000000e+05	1.794433333330000124e+01	7.550715443000000082e-01
3.131875000000000000e+05	2.199377777779999832e+01	5.159746380999999937e-01
3.756250000000000000e+05	2.588922222220000080e+01	1.614184134400000081e+00
4.380625000000000000e+05	2.973822222220000100e+01	1.858010538300000070e+00
5.005000000000000000e+05	3.394022222219999918e+01	5.531367790000000229e-01
5.629375000000000000e+05	3.759277777780000207e+01	6.967207138000000022e-01
6.253750000000000000e+05	4.181466666669999910e+01	1.691259827000000104e+00
6.878125000000000000e+05	4.604344444440000217e+01	1.363471857499999995e+00
7.502500000000000000e+05	4.936733333330000306e+01	1.268597047599999916e+00
8.126875000000000000e+05	5.299111111109999683e+01	1.831523011900000109e+00
8.751250000000000000e+05	5.612377777780000088e+01	1.864664455300000023e+00
9.375625000000000000e+05	5.923177777779999786e+01	1.043683741900000017e+00
1.000000000000000000e+06	6.295366666670000200e+01	8.913210059999999713e-01
2.580645161299999803e+06	1.270277777777999972e+02	1.601468924500000002e+00
4.161290322600000538e+06	1.671128888888999882e+02	2.536263159599999817e+00
5.741935483900000341e+06	2.009512222221999878e+02	1.593663905000000103e+00
7.322580645200000145e+06	2.289577777778000041e+02	2.478065753100000101e+00
8.903225806500000879e+06	2.511485555556000122e+02	1.066748283899999983e+00
1.048387096770000085e+07	2.716813333333000173e+02	8.922858978000000052e-01
1.206451612900000066e+07	2.885904444444000205e+02	3.463017409799999946e+00
1.364516129030000046e+07	3.034270000000000209e+02	2.922917500700000115e+00
1.522580645160000026e+07	3.153313333332999946e+02	2.022206178199999815e+00
1.680645161290000007e+07	3.278620000000000232e+02	3.034234510000000107e+00
1.838709677419999987e+07	3.357455555555999922e+02	3.351830971900000122e+00
1.996774193549999967e+07	3.452013333332999991e+02	2.861300110300000199e+00
2.154838709679999948e+07	3.517494444444000123e+02	4.911240822799999961e+00
2.312903225809999928e+07	3.593605555556000013e+02	1.910889134400000078e+00
2.470967741939999908e+07	3.648948888889000273e+02	3.318165817900000203e+00
2.629032258060000092e+07	3.706088888889000259e+02	2.449091038300000189e+00
2.787096774190000072e+07	3.761735555555999895e+02	2.866320616499999918e+00
2.945161290320000052e+07	3.828435555556000054e+02	1.037067232300000086e+00
3.103225806450000033e+07	3.868988888888999895e+02	2.018760529100000145e+00
3.261290322580000013e+07	3.913687777778000054e+02	2.710977628799999817e+00
3.419354838710000366e+07	3.963814444444000173e+02	1.799030822800000040e+00
3.577419354839999974e+07	4.001440000000000055e+02	1.832511519499999908e+00
3.735483870970000327e+07	4.041881111110999996e+02	1.593564619899999979e+00
3.893548387099999934e+07	4.081167777777999959e+02	3.181076097100000055e+00
4.051612903230000287e+07	4.103712222222000037e+02	3.303681702300000023e+00
4.209677419349999726e+07	4.145222222222000141e+02	3.381051994899999968e+00
4.367741935480000079e+07	4.186720000000000255e+02	2.055943338800000131e+00
4.525806451609999686e+07	4.208121111111000232e+02	3.629520214599999850e+00
4.683870967740000039e+07	4.248648888888999977e+02	1.666464787800000069e+00
4.841935483869999647e+07	4.266232222222000132e+02	2.522241840299999982e+00
5.000000000000000000e+07	4.293476666666999790e+02	3.634039917700000011e+00
