fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.186342599999999940e-03	1.787091999999999999e-04
6.343750000000000000e+04	7.266646240000000645e-02	2.489531699999999927e-03
1.258750000000000000e+05	1.404616012999999886e-01	3.882963799999999965e-03
1.883125000000000000e+05	2.115893926999999897e-01	1.313613959999999914e-02
2.507500000000000000e+05	2.748825571999999884e-01	1.156665970000000064e-02
3.131875000000000000e+05	3.369144880000000120e-01	7.904023300000000141e-03
3.756250000000000000e+05	3.965873502000000217e-01	2.472708540000000121e-02
4.380625000000000000e+05	4.555487473000000009e-01	2.846217120000000059e-02
5.005000000000000000e+05	5.199176197999999527e-01	8.473296199999999154e-03
5.629375000000000000e+05	5.758697576000000318e-01	1.067280510000000009e-02
6.253750000000000000e+05	6.405433006999999845e-01	2.590777920000000151e-02
6.878125000000000000e+05	7.053223720000000307e-01	2.088651739999999868e-02
7.502500000000000000e+05	7.562397875999999908e-01	1.943316559999999985e-02
8.126875000000000000e+05	8.117510892999999506e-01	2.805641869999999857e-02
8.751250000000000000e+05	8.597392429000000336e-01	2.856410009999999985e-02
9.375625000000000000e+05	9.073495369999999838e-01	1.598780240000000075e-02
1.000000000000000000e+06	9.643637662999999804e-01	1.365381440000000036e-02
2.580645161299999803e+06	1.945891203700000016e+00	2.453230580000000105e-02
4.161290322600000538e+06	2.559940087100000206e+00	3.885207050000000217e-02
5.741935483900000341e+06	3.078296909000000081e+00	2.441274360000000171e-02
7.322580645200000145e+06	3.507318899800000001e+00	3.796056610000000248e-02
8.903225806500000879e+06	3.847251157400000121e+00	1.634111950000000091e-02
1.048387096770000085e+07	4.161785130700000224e+00	1.366859519999999960e-02
1.206451612900000066e+07	4.420809504400000201e+00	5.304867359999999865e-02
1.364516129030000046e+07	4.648085171600000010e+00	4.477508429999999678e-02
1.522580645160000026e+07	4.830443219000000177e+00	3.097742309999999832e-02
1.680645161290000007e+07	5.022395833300000056e+00	4.648030809999999929e-02
1.838709677419999987e+07	5.143161083899999930e+00	5.134544989999999948e-02
1.996774193549999967e+07	5.288010620899999736e+00	4.383119039999999744e-02
2.154838709679999948e+07	5.388318695499999755e+00	7.523346849999999753e-02
2.312903225809999928e+07	5.504910471099999647e+00	2.927219879999999955e-02
2.470967741939999908e+07	5.589688861700000011e+00	5.082974600000000204e-02
2.629032258060000092e+07	5.677219498900000438e+00	3.751671320000000281e-02
2.787096774190000072e+07	5.762462554499999889e+00	4.390809770000000251e-02
2.945161290320000052e+07	5.864637799599999646e+00	1.588644659999999958e-02
3.103225806450000033e+07	5.926759940100000179e+00	3.092464049999999950e-02
3.261290322580000013e+07	5.995232502700000410e+00	4.152845630000000232e-02
3.419354838710000366e+07	6.072019675900000024e+00	2.755868289999999915e-02
3.577419354839999974e+07	6.129656862700000097e+00	2.807156129999999888e-02
3.735483870970000327e+07	6.191607094200000105e+00	2.441122269999999872e-02
3.893548387099999934e+07	6.251788875299999937e+00	4.872971959999999880e-02
4.051612903230000287e+07	6.286323869800000352e+00	5.060786920000000244e-02
4.209677419349999726e+07	6.349911492400000412e+00	5.179307589999999906e-02
4.367741935480000079e+07	6.413480392200000324e+00	3.149423009999999939e-02
4.525806451609999686e+07	6.446263957000000211e+00	5.559926800000000030e-02
4.683870967740000039e+07	6.508346949899999956e+00	2.552795320000000173e-02
4.841935483869999647e+07	6.535282203200000417e+00	3.863728310000000277e-02
5.000000000000000000e+07	6.577016952600000188e+00	5.566850360000000220e-02
