fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.724763999999999941e-03	2.895630999999999856e-04
6.343750000000000000e+04	1.044049563999999986e-01	8.814493799999999907e-03
1.258750000000000000e+05	2.040486565000000085e-01	6.926184900000000033e-03
1.883125000000000000e+05	2.930147059000000054e-01	1.252272140000000068e-02
2.507500000000000000e+05	3.833015613999999904e-01	2.257669990000000029e-02
3.131875000000000000e+05	4.799473492999999924e-01	1.902339949999999960e-02
3.756250000000000000e+05	5.573052831999999457e-01	2.502812130000000093e-02
4.380625000000000000e+05	6.549450798999999490e-01	9.414076999999999862e-03
5.005000000000000000e+05	7.415985838999999968e-01	3.259141919999999915e-02
5.629375000000000000e+05	8.280591865999999968e-01	1.236554049999999925e-02
6.253750000000000000e+05	9.121437001000000100e-01	2.337057619999999974e-02
6.878125000000000000e+05	9.932325708000000475e-01	2.661297909999999975e-02
7.502500000000000000e+05	1.079518427700000061e+00	2.311013030000000010e-02
8.126875000000000000e+05	1.165525145199999946e+00	1.780800520000000095e-02
8.751250000000000000e+05	1.244365014500000033e+00	5.859087620000000274e-02
9.375625000000000000e+05	1.312629357300000077e+00	5.173990259999999841e-02
1.000000000000000000e+06	1.379411764699999932e+00	2.029913410000000126e-02
2.580645161299999803e+06	2.814079520700000003e+00	3.586070239999999965e-02
4.161290322600000538e+06	3.795776597700000199e+00	2.977086790000000108e-02
5.741935483900000341e+06	4.593026052999999997e+00	6.408453899999999592e-02
7.322580645200000145e+06	5.340443445900000086e+00	7.815735390000000393e-02
8.903225806500000879e+06	5.997151869999999718e+00	8.334237220000000057e-02
1.048387096770000085e+07	6.590845134400000305e+00	3.143890879999999832e-02
1.206451612900000066e+07	7.158753177200000373e+00	6.711254549999999541e-02
1.364516129030000046e+07	7.642824074099999976e+00	7.517583210000000626e-02
1.522580645160000026e+07	8.080008623799999512e+00	7.961104469999999433e-02
1.680645161290000007e+07	8.469183460400000030e+00	5.122054890000000277e-02
1.838709677419999987e+07	8.851640795199999801e+00	4.293625379999999742e-02
1.996774193549999967e+07	9.184772149600000546e+00	6.230034500000000003e-02
2.154838709679999948e+07	9.516873184499999638e+00	6.543819609999999842e-02
2.312903225809999928e+07	9.758251634000000507e+00	4.504436600000000235e-02
2.470967741939999908e+07	1.000323166299999933e+01	2.714291300000000115e-02
2.629032258060000092e+07	1.024235430280000081e+01	6.583308999999999689e-02
2.787096774190000072e+07	1.043853485840000062e+01	4.490698030000000313e-02
2.945161290320000052e+07	1.065004992739999956e+01	5.267635670000000297e-02
3.103225806450000033e+07	1.084894925559999912e+01	4.801363239999999893e-02
3.261290322580000013e+07	1.101279956429999984e+01	7.774419979999999675e-02
3.419354838710000366e+07	1.118699164849999939e+01	5.870347120000000279e-02
3.577419354839999974e+07	1.132592365650000055e+01	6.733777959999999452e-02
3.735483870970000327e+07	1.150035856939999945e+01	3.221995419999999777e-02
3.893548387099999934e+07	1.163959694989999960e+01	4.806507639999999665e-02
4.051612903230000287e+07	1.178604302829999995e+01	6.498441779999999945e-02
4.209677419349999726e+07	1.191618554829999965e+01	2.663880609999999885e-02
4.367741935480000079e+07	1.202295070809999977e+01	5.886307980000000245e-02
4.525806451609999686e+07	1.213224627810000023e+01	5.380881349999999674e-02
4.683870967740000039e+07	1.225989696799999962e+01	4.342770829999999943e-02
4.841935483869999647e+07	1.237538126359999957e+01	2.566125550000000061e-02
5.000000000000000000e+07	1.247767792299999989e+01	3.603040090000000223e-02
