pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	8.444444439999999885e-02	1.417701149999999952e-02
6.343750000000000000e+04	5.111666666699999695e+00	4.315576152999999748e-01
1.258750000000000000e+05	9.990222222199999891e+00	3.391060142000000277e-01
1.883125000000000000e+05	1.434600000000000009e+01	6.131124400999999891e-01
2.507500000000000000e+05	1.876644444440000115e+01	1.105355224700000027e+00
3.131875000000000000e+05	2.349822222219999901e+01	9.313856396999999898e-01
3.756250000000000000e+05	2.728566666669999918e+01	1.225376817799999962e+00
4.380625000000000000e+05	3.206611111109999968e+01	4.609132105000000035e-01
5.005000000000000000e+05	3.630866666669999887e+01	1.595675885299999930e+00
5.629375000000000000e+05	4.054177777780000014e+01	6.054168648000000097e-01
6.253750000000000000e+05	4.465855555560000312e+01	1.144223409100000088e+00
6.878125000000000000e+05	4.862866666669999915e+01	1.302971456799999928e+00
7.502500000000000000e+05	5.285322222220000299e+01	1.131471979100000080e+00
8.126875000000000000e+05	5.706411111109999723e+01	8.718799327999999793e-01
8.751250000000000000e+05	6.092411111109999666e+01	2.868609298700000032e+00
9.375625000000000000e+05	6.426633333329999687e+01	2.533185629200000122e+00
1.000000000000000000e+06	6.753600000000000136e+01	9.938456048999999570e-01
2.580645161299999803e+06	1.377773333332999925e+02	1.755739990299999942e+00
4.161290322600000538e+06	1.858412222222000025e+02	1.457581694099999936e+00
5.741935483900000341e+06	2.248745555556000113e+02	3.137579030499999977e+00
7.322580645200000145e+06	2.614681111110999723e+02	3.826584048700000018e+00
8.903225806500000879e+06	2.936205555555999922e+02	4.080442544400000315e+00
1.048387096770000085e+07	3.226877777778000222e+02	1.539248975100000028e+00
1.206451612900000066e+07	3.504925555556000063e+02	3.285830229400000135e+00
1.364516129030000046e+07	3.741926666667000063e+02	3.680608739200000201e+00
1.522580645160000026e+07	3.955972222222000028e+02	3.897756746399999805e+00
1.680645161290000007e+07	4.146512222221999764e+02	2.507758076000000003e+00
1.838709677419999987e+07	4.333763333333000105e+02	2.102158984299999922e+00
1.996774193549999967e+07	4.496864444444000242e+02	3.050224893599999820e+00
2.154838709679999948e+07	4.659461111110999809e+02	3.203854083399999997e+00
2.312903225809999928e+07	4.777640000000000100e+02	2.205372161500000150e+00
2.470967741939999908e+07	4.897582222222000041e+02	1.328917019399999955e+00
2.629032258060000092e+07	5.014656666666999740e+02	3.223188085099999878e+00
2.787096774190000072e+07	5.110706666666999922e+02	2.198645755999999896e+00
2.945161290320000052e+07	5.214264444443999764e+02	2.579034425500000172e+00
3.103225806450000033e+07	5.311645555556000318e+02	2.350747440900000207e+00
3.261290322580000013e+07	5.391866666667000345e+02	3.806356022900000191e+00
3.419354838710000366e+07	5.477151111110999864e+02	2.874121950700000205e+00
3.577419354839999974e+07	5.545172222221999618e+02	3.296857688299999811e+00
3.735483870970000327e+07	5.630575555555999472e+02	1.577488956400000086e+00
3.893548387099999934e+07	5.698746666667000227e+02	2.353266141100000208e+00
4.051612903230000287e+07	5.770446666666999818e+02	3.181637096999999859e+00
4.209677419349999726e+07	5.834164444443999855e+02	1.304235947700000064e+00
4.367741935480000079e+07	5.886436666667000281e+02	2.881936386100000025e+00
4.525806451609999686e+07	5.939947777777999818e+02	2.634479506799999982e+00
4.683870967740000039e+07	6.002445555555999590e+02	2.126220596400000051e+00
4.841935483869999647e+07	6.058986666667000236e+02	1.256375071699999957e+00
5.000000000000000000e+07	6.109071111110999936e+02	1.764048430099999898e+00
