fugacity (Pa)	N (mmol/g)	N_std (mmol/g) 
1.000000000000000000e+03	1.067197700000000003e-03	1.532240999999999887e-04
6.343750000000000000e+04	7.171500540000000368e-02	3.382820600000000129e-03
1.258750000000000000e+05	1.441482843000000125e-01	5.329158300000000174e-03
1.883125000000000000e+05	2.086022603000000086e-01	8.747973399999999303e-03
2.507500000000000000e+05	2.763769743999999751e-01	1.186965669999999994e-02
3.131875000000000000e+05	3.324040032999999728e-01	1.192040679999999998e-02
3.756250000000000000e+05	3.946401824999999919e-01	2.031965419999999869e-02
4.380625000000000000e+05	4.570414623999999870e-01	3.757118299999999932e-03
5.005000000000000000e+05	5.131689134000000374e-01	2.793170270000000163e-02
5.629375000000000000e+05	5.818355120000000547e-01	2.602994980000000041e-02
6.253750000000000000e+05	6.327103758000000022e-01	2.391414370000000122e-02
6.878125000000000000e+05	6.870915033000000172e-01	7.971117999999999260e-03
7.502500000000000000e+05	7.329656863000000300e-01	2.511927519999999914e-02
8.126875000000000000e+05	8.032918028000000099e-01	1.252208420000000023e-02
8.751250000000000000e+05	8.579776007999999621e-01	2.319192600000000160e-02
9.375625000000000000e+05	9.162530637000000366e-01	2.454637730000000170e-02
9.375625000000000000e+05	7.506000000000000449e-01	0.000000000000000000e+00
1.000000000000000000e+06	9.464222494999999791e-01	2.060524949999999883e-02
2.580645161299999803e+06	1.897879221099999958e+00	2.069112730000000067e-02
4.161290322600000538e+06	2.506454248399999862e+00	1.817627679999999843e-02
5.741935483900000341e+06	2.948526007599999943e+00	1.755623190000000014e-02
7.322580645200000145e+06	3.264351851899999879e+00	2.731470449999999842e-02
8.903225806500000879e+06	3.521812023399999880e+00	2.605975569999999936e-02
1.048387096770000085e+07	3.753725830600000091e+00	2.726994339999999975e-02
1.206451612900000066e+07	3.899862132400000014e+00	3.397253320000000187e-02
1.364516129030000046e+07	4.057466979800000040e+00	1.606367410000000134e-02
1.522580645160000026e+07	4.149833197200000434e+00	2.602033200000000018e-02
1.680645161290000007e+07	4.242548338799999819e+00	3.706830190000000302e-02
1.838709677419999987e+07	4.341013071899999964e+00	2.403869310000000120e-02
1.996774193549999967e+07	4.406032135100000247e+00	3.480067010000000016e-02
2.154838709679999948e+07	4.487729779400000396e+00	3.198866289999999918e-02
2.312903225809999928e+07	4.526227192300000368e+00	2.423250089999999871e-02
2.629032258060000092e+07	4.660443899799999734e+00	3.277213920000000141e-02
2.787096774190000072e+07	4.698905569199999910e+00	1.507810289999999935e-02
2.945161290320000052e+07	4.757923134500000373e+00	4.338832310000000081e-02
3.103225806450000033e+07	4.787113630200000358e+00	5.671889640000000316e-02
3.261290322580000013e+07	4.847589869300000132e+00	3.968188770000000143e-02
3.419354838710000366e+07	4.883997140500000000e+00	2.605697720000000120e-02
3.577419354839999974e+07	4.916305827899999592e+00	5.590917360000000058e-02
3.735483870970000327e+07	4.954750476600000120e+00	2.974134109999999886e-02
3.893548387099999934e+07	4.993853826299999632e+00	5.635052609999999934e-02
4.051612903230000287e+07	5.016387527200000029e+00	3.722952090000000019e-02
4.209677419349999726e+07	5.054585375800000335e+00	3.156453850000000283e-02
4.367741935480000079e+07	5.086718750000000178e+00	2.914831320000000128e-02
4.525806451609999686e+07	5.105131740200000046e+00	5.150570129999999802e-02
4.683870967740000039e+07	5.146282679699999640e+00	6.052660850000000231e-02
4.841935483869999647e+07	5.185358796300000073e+00	2.045611820000000150e-02
5.000000000000000000e+07	5.200442538099999901e+00	4.484539619999999838e-02
