pressure (Pa)	N (molec/uc)	N_std (molec/uc) 
1.000000000000000000e+03	6.966666670000000450e-02	1.000246880000000074e-02
6.343750000000000000e+04	4.681555555600000140e+00	2.208305311000000049e-01
1.258750000000000000e+05	9.410000000000000142e+00	3.478874516000000083e-01
1.883125000000000000e+05	1.361755555559999920e+01	5.710677025999999490e-01
2.507500000000000000e+05	1.804188888890000086e+01	7.748511923999999995e-01
3.131875000000000000e+05	2.169933333330000025e+01	7.781641580000000502e-01
3.756250000000000000e+05	2.576211111110000118e+01	1.326467023900000042e+00
4.380625000000000000e+05	2.983566666669999989e+01	2.452646843999999882e-01
5.005000000000000000e+05	3.349966666670000137e+01	1.823381555299999901e+00
5.629375000000000000e+05	3.798222222220000077e+01	1.699235121999999931e+00
6.253750000000000000e+05	4.130333333330000301e+01	1.561115302499999968e+00
6.878125000000000000e+05	4.485333333330000016e+01	5.203545800000000110e-01
7.502500000000000000e+05	4.784799999999999898e+01	1.639786285400000043e+00
8.126875000000000000e+05	5.243888888890000288e+01	8.174416580000000154e-01
8.751250000000000000e+05	5.600877777779999889e+01	1.513968931600000012e+00
9.375625000000000000e+05	7.506000000000000449e-01	0.000000000000000000e+00
1.000000000000000000e+06	6.178244444439999938e+01	1.345110688899999962e+00
2.580645161299999803e+06	1.238935555556000025e+02	1.350716791900000047e+00
4.161290322600000538e+06	1.636213333332999866e+02	1.186547351500000014e+00
5.741935483900000341e+06	1.924797777777999954e+02	1.146070818499999922e+00
7.322580645200000145e+06	2.130968888888999970e+02	1.783103910499999945e+00
8.903225806500000879e+06	2.299038888889000134e+02	1.701180853499999923e+00
1.048387096770000085e+07	2.450432222222000007e+02	1.780181902200000055e+00
1.206451612900000066e+07	2.545829999999999984e+02	2.217726964500000175e+00
1.364516129030000046e+07	2.648714444444000264e+02	1.048636645700000036e+00
1.522580645160000026e+07	2.709011111111000218e+02	1.698607272600000107e+00
1.680645161290000007e+07	2.769535555556000190e+02	2.419818746399999831e+00
1.838709677419999987e+07	2.833813333333000060e+02	1.569245883200000025e+00
1.996774193549999967e+07	2.876257777778000104e+02	2.271787744400000086e+00
2.154838709679999948e+07	2.929590000000000032e+02	2.088219916499999940e+00
2.312903225809999928e+07	2.954721111110999914e+02	1.581897657100000076e+00
2.470967741939999908e+07	2.997472222221999800e+02	2.539481525799999861e+00
2.629032258060000092e+07	3.042337777778000145e+02	2.139365245700000084e+00
2.787096774190000072e+07	3.067445555556000159e+02	9.842985597000000197e-01
2.945161290320000052e+07	3.105972222222000028e+02	2.832389733899999928e+00
3.103225806450000033e+07	3.125027777778000200e+02	3.702609556900000154e+00
3.261290322580000013e+07	3.164506666666999877e+02	2.590433625899999814e+00
3.419354838710000366e+07	3.188273333332999755e+02	1.700999473800000050e+00
3.577419354839999974e+07	3.209364444444000242e+02	3.649750852299999959e+00
3.735483870970000327e+07	3.234461111110999809e+02	1.941514745299999900e+00
3.893548387099999934e+07	3.259987777778000009e+02	3.678562346700000152e+00
4.051612903230000287e+07	3.274697777778000045e+02	2.430343124699999802e+00
4.209677419349999726e+07	3.299633333332999996e+02	2.060533072600000182e+00
4.367741935480000079e+07	3.320609999999999786e+02	1.902801884699999890e+00
4.525806451609999686e+07	3.332629999999999768e+02	3.362292178200000148e+00
4.683870967740000039e+07	3.359493333332999896e+02	3.951177002300000130e+00
4.841935483869999647e+07	3.385002222222000228e+02	1.335375399199999924e+00
5.000000000000000000e+07	3.394848888889000023e+02	2.927507463800000043e+00
